Report generated on: 11-03-2021 14:07:28
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","natural gas CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3002-8-MMR-MMTCD.A","        Burma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61105363","0.66660396","0.88880528","1.05545627","1.27765759","1.55540924","2.11091254","2.2220132","2.05536221","2.11091254","2.11091254","1.958682883","1.928710641","2.172335394","2.824047197","3.238986409","3.159801244","2.982062424","3.475781368","2.730387552","3.115656961","3.2831654","4.34472671","4.956938201","5.272918325","8.175985718","7.149050314","8.136488202","7.603271742","6.418346276","6.398597518","6.596085096","6.91206522","7.168799071","6.793572674","7.08980404","8.701288985","8.892850308","9.294336218","7.134044434"
"INTL.3002-8-BDI-MMTCD.A","        Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-CPV-MMTCD.A","        Cabo Verde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-KHM-MMTCD.A","        Cambodia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-CMR-MMTCD.A","        Cameroon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.039235198","0.039235198","0.039235198","0.039235198","0.41196958","0.294263986","0.533598694","0.60814557","0.920065395","1.333996735","1.412466464","1.786115269","2.151580401","1.934659854"
"INTL.3002-8-CAN-MMTCD.A","        Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.60410029","98.90314456","100.90088723","100.8214614","109.048587303","116.935301633","114.5928498","113.7365152","125.77756653","130.57128942","127.914672085","129.271889208","140.059876305","145.18729512","150.331059104","155.604702358","158.336536708","156.711097775","151.988958064","168.668041252","161.885663913","169.255727934","172.074486493","183.430640532","181.69255311","171.319180825","179.938310679","166.381672853","160.04286498","170.209203206","188.488833405","195.265614452","205.056455677","218.336165116","226.864371923","225.554874505","216.016296601","230.934963008","245.386044681","244.660473734"
"INTL.3002-8-CYM-MMTCD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-CAF-MMTCD.A","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-TCD-MMTCD.A","        Chad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-CHL-MMTCD.A","        Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.509816667","4.509816667","2.599776667","2.440606667","2.54672","2.334493333","1.379473333","1.379473333","1.856983333","3.02423","3.50174","2.758946667","2.888646341","3.278902","3.634912233","3.560102333","3.560959596","5.508666779","6.354640606","9.030278756","10.250054971","12.473195492","13.79786122","15.053820382","16.394296359","16.394296359","14.644994865","8.73227862","5.409076079","6.397922988","10.399302983","11.21885555","9.589802721","9.634042205","8.018162727","8.635900728","9.420439689","10.065373973","10.604137173","12.887521262"
