Report generated on: 11-03-2021 14:09:38,,,,,petroleum and other liquids CO2 emissions (MMtonnes CO2),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Bhutan,0.07744,0.07715,0.08126,0.08108,0.09223,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.171893392,0.2,0.3,0.323057991,0.381013666,0.434420977,0.459001396,0.429118119,0.45724348,0.52496449,0.5701351,0.5701351,
        Bolivia,3.3,3.4,3.5,3.4,3.9,4.4,4.4,4.5,5,6.3,6.3,6.1,6.9,6.8,7.2,7.1,7.8,6.172890131,8.1,7.2,8,8.548488478,9.238645607,9.207521756,9.919693004,10.650584,11.011997,11.857834,12.066285,
        Bosnia and Herzegovina,--,--,5.3,3.4,3.1,3,2,2,2.3,2.4,3,3,3.1,3.3,3.8,4,3.7,3.660609904,3.9,3.8,4.838649171,4.882621172,4.479675104,4.330383566,4.403228438,4.536242,5.108585,5.008164914,4.845129,
        Botswana,0.9,1,1.2,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.9,1.6,1.5,1.5,1.9,2,2.1,2.143661503,2.2,2.6,2.7,2.757641297,2.754874253,2.979473563,3.085495082,3.4256,3.233526,2.920058816,3.056143816,
        Brazil,197,199,192,213,225,243,257,273,271,280,258.5370958,260.6216802,257.1503092,250.1948555,255.8529714,260.37905,261.3055107,272.2420652,285.1226908,289.6834905,303.6838564,322.0879854,340.9090914,352.933481,365.9255096,359.3387163,342.2284974,346.5527526,328.4764347,
        British Virgin Islands,0.05039,0.05039,0.0541,0.05411,0.05413,0.05406,0.0604,0.06039,0.06036,0.06036,0.06038,0.06038,0.06039,0.0699,0.08895,0.09531,0.1,0.11115615,0.1,0.1,0.2,0.17865226,0.177708728,0.177212161,0.179863623,0.183908,0.186382,0.174258053,0.216635316,
        Brunei,0.9,1.4,1,1.2,1.4,1.4,1.8,1.8,1.6,1.6,1.6,1.6,1.6,1.8,1.9,2,2,1.933440321,2.2,2.3,2.401380684,2.574352624,2.471166688,2.43935757,2.347091784,2.480328,2.285271872,2.138225064,2.247313971,
        Bulgaria,30,19,20,18,20,19,17,15,14,13,14,13,14,13,14,15,15,11,15,14,11.40311303,10.92037263,11.14967479,10.26810305,11.39393192,12.517573,12.657792,12.8070401,13.03321872,
        Burkina Faso,0.5,0.6,0.6,0.6,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.347805637,1.4,1.7,1.7,2.120689116,2.453215462,3.050219119,2.860502377,3.711134,3.006024,3.720961857,2.970056033,
        Burma,2.3,2.4,2.5,2.5,2.9,2.8,3,3.8,4.5,5.6,5.6,5.1,5.3,5.4,6.1,6.5,6,5.330293104,5.6,4,3.849288667,3.495448412,6.404576898,8.611399581,13.25252965,16.50476006,12.49459791,19.694049,20.467959,
