Report generated on: 11-03-2021 14:22:01
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-ARM-TBTUUSDPP.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","24.108373896242423","20.120965105708965","17.077755419373013","15.671389390035454","18.943258994214837","15.451222954809673","15.297546311438747","9.156584192863656","9.299489413159167","8.347682012996875","6.950196824510516","6.701741509681929","6.292261803656951","6.401490285002759","5.646482647209555","5.570264950261524","5.026519588524234","5.231384825913938","5.70004100531885","5.734424216441876","5.670119525183245","5.3849828667676665","5.298120122434901","4.7569907711710675","4.781051338008701","4.73978855445363","4.431894613292525",""
"INTL.47-34-ABW-TBTUUSDPP.A","        Aruba","--","--","--","--","--","--","0","0","3.6671555213209297","4.347455641799457","4.416838562674724","4.462820539955222","4.6297415637644574","4.383576042467576","4.444977827418943","4.907804081175206","3.194857831167234","4.792296447136756","4.492784325958461","4.441519348699513","5.082715428868177","5.278393790169464","5.577025792882053","6.18179316293467","5.995738857664409","6.3995290049346485","6.370902094435885","6.385661994883967","6.14210002606615","6.695402671433967","6.496976689884823","5.151128815300156","6.546791967523932","6.081469743671036","6.159901883353664","5.990754718723079","5.701902763789485","5.789523348102194","5.542720428000578",""
"INTL.47-34-AUS-TBTUUSDPP.A","        Australia","7.988189988916958","7.8368778733152915","8.287001458904127","8.019460837308078","7.620198855501541","7.577150871344544","7.5330585605005265","7.541774948904121","7.4284445692919014","7.533910990907626","7.628719047438557","7.6478687378834085","7.592696468215088","7.379981060783547","7.185899664795983","7.261767858014269","7.257585154066993","7.0868865056948795","7.082624181964694","6.961642636875738","6.736689697100728","6.647419245698507","6.594058977661009","6.417195947793596","6.341866586942867","6.318187791442952","6.253569905142167","6.2289122322707975","6.02110818718014","6.050700920381899","5.781523107592241","5.708710792481435","5.56640264874833","5.448042132363145","5.263018571241375","5.195928985974904","5.16823566988402","5.171460938060316","4.968327849948022","5.082148618411193"
"INTL.47-34-AUT-TBTUUSDPP.A","        Austria","5.173656104477725","5.126940969175663","4.786586359173565","4.692014874415997","4.80373687404812","4.799002989029591","4.599673350776376","4.315550710384918","4.475725492265255","4.357725765657266","4.3170400365740695","4.398455002722644","4.22286387418522","4.27705715703125","4.15987264125953","4.215249205051065","4.303347785564742","4.211664986827044","4.14468285662083","4.057213756462618","3.880668514195315","4.016132355131404","3.945936201991154","3.9720849326011867","4.0149774590700895","4.06678460116459","3.9040203545485612","3.6977537476160265","3.648743918949397","3.6278901442633984","3.6586269156840263","3.383795455029889","3.4590629883948956","3.478738614698045","3.334324355809243","3.3104738625693564","3.3207262540015434","3.312747203506638","3.164345737089406","3.230329059554643"
"INTL.47-34-AZE-TBTUUSDPP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","23.104618101071605","25.577580979391982","28.647979405126257","31.144218573381576","27.162205515643976","25.478231978331838","19.828789743533186","19.04364319709701","15.429668742466095","12.330437833310729","13.459599363429723","13.036347745624374","13.16052898810185","10.690900685317759","8.052773024725417","5.288627900022094","5.125161358073736","4.406273725641506","4.5273654007076","4.343730331439037","4.614481431155303","4.1020570782558","4.112999038562314","4.289515889546447","4.356443509494857","4.332527393490154","4.281910309192402",""
"INTL.47-34-BHR-TBTUUSDPP.A","        Bahrain","0","0","0","0","0","0","0","0","13.225133560536044","13.49385240988161","14.1243684220776","14.231247233552665","11.178547334968778","11.816004149326403","11.672397673718628","11.272196706520184","10.855120490967616","12.394469209790106","12.410531166607836","12.21399862024365","12.272358782152468","12.392929758943556","12.794705705050385","12.57599777943385","12.177169698271834","12.794726562792938","12.822433058155886","12.156789790582163","11.98267644468298","11.56983773717834","11.210234999361","10.876153192309129","11.26359045768699","11.882557639480428","11.288250440934453","11.11174835260624","10.706117385771828","10.561409001369835","10.470581622809155",""
"INTL.47-34-BGD-TBTUUSDPP.A","        Bangladesh","0","0","0","0","0","0","0","0","1.5206824538135206","1.6163160511064925","1.4746372222534716","1.5190661442543925","1.624292890322437","1.6806560784650064","1.7874665291798528","1.8634921285399995","1.8497842295365161","1.8171202214604725","1.8493411509749904","1.9865435942364669","2.0042112397505565","2.0887226943567403","2.1162805496166355","2.2239033804382604","2.1872749158423144","2.1827476706675117","2.206445049050453","2.1644270014790488","2.2073342497046573","2.2119547969037447","2.2098411156596356","2.18326695940662","2.2091694753843707","2.132743129510683","2.1232311088628077","2.2282054595582825","2.2230075789900066","2.134116605541954","2.1022329193502878",""
"INTL.47-34-BRB-TBTUUSDPP.A","        Barbados","0","0","0","0","0","0","0","0","4.456575455520944","4.681906418934986","5.12925094266416","5.397652054808154","6.129986005992051","5.901848203547601","5.393130685072229","5.486215798248616","4.737924157372731","5.445904819220302","5.332006637553593","5.564000859480587","5.726627183377596","5.868978587881054","5.862095549720805","5.798710097260218","5.760885378443479","5.5840407632504325","5.29648793639778","4.9444447570696415","5.789709825066368","5.748309382815822","5.669687163000853","5.990751885845102","5.655943232581994","5.826031954565315","5.073104220797165","5.267587799367375","5.257235093033509","4.942791962650308","5.294501007332515",""
"INTL.47-34-BLR-TBTUUSDPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","166.91360458486756","153.40880353479884","16.306344562308325","17.175719660348374","16.713050242840087","14.87700805460052","13.444896897175102","13.440036152250217","13.81235180495525","12.205558580201082","11.28403085201037","11.037319910230242","9.269915656340308","9.527562410730068","9.242559269937441","8.254818397973887","7.580253578080221","7.042345663814838","6.9567757237379","6.805035853598969","6.747558720803386","6.383748885864071","6.295344936935145","5.569280008135918","5.658908744093052","5.502748021098711","5.6533831525858425",""
"INTL.47-34-BEL-TBTUUSDPP.A","        Belgium","7.918313732364902","7.436543313114601","6.914627465800241","6.769098125194493","6.776660736895078","6.914486069044702","7.06345277858926","7.118112870677802","6.988513654882635","6.783930108625215","6.746757257022695","6.861901967896808","6.780421705281942","6.728092653382691","6.930324762225445","6.826281904804637","7.126934962151807","6.8996126377984","6.931472341187871","6.649862517312997","6.558236032095988","6.474653069648486","6.331593750117361","6.468004905134914","6.328639475753972","6.125573845356603","5.956883289142869","5.771523804384427","5.923594170910603","5.516051089791995","5.770252695418974","5.300455454258607","5.113783123853355","5.244169095410311","4.821834044954516","4.783961967441853","5.011116836508952","4.960809765539094","4.910081687548421","4.921035737503249"
