Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
American Samoa,ASM,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Antigua and Barbuda,ATG,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.00229079,0.000272189,0.021189136,0.081258945,0.097305098,0.09911631,0.105910995,0.230211622,0.287684283,0.093168544,0.010732906,0.063609751,0.07332359,0.107505116,0.179963819,0.123468606,0.078477616,0.085757703,0.15383384,0.105191959,0.08279267,0.108150646,0.145647711,0.149090713,0.170916041,0.153090816,0.110057792,0.147747374,0.251462715,0.264647634,0.234816721,0.260906149,0.263254654,0.270237084,0.301830423,0.297929799,0.293955363,0.376795044,0.303571022,0.338182601,0.341825019,0.321953493,0.434860869,0.637893502,0.576892049,0.693519469,1.339103517,1.202242825,
Austria,AUT,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.009407703,0.011375697,0.012390306,0.013646831,0.050791505,0.081629229,0.069191905,0.066800621,0.067256433,0.110462529,0.116532934,0.057902334,0.018004871,0.05114536,0.056750359,0.050041174,0.028548882,0.013939747,0.014115945,0.016062578,0.018905325,0.01574003,0.010636878,0.012796963,0.009011703,0.008373047,0.010778179,0.011579419,0.005083597,0.00437359,0.026795896,0.04806308,0.037495113,0.037054142,0.026685309,0.023157827,0.046378948,0.044163017,0.050582603,0.0478025,0.039515307,0.054051895,0.064287408,0.047223113,0.030282842,0.023113685,0.013048452,0.020404835,0.022722167,0.013363818,
Azerbaijan,AZE,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.460859696,2.170096924,2.008698517,2.480294728,2.325285628,2.614482936,3.233777774,2.429926399,0.79367644,0.637866456,2.805684051,4.896139959,3.32697496,3.108136528,2.566621862,1.660079796,2.354688473,2.8021959,4.123066457,3.82459163,2.718746653,3.284801107,3.507432536,3.205077223,2.489184103,2.412985101,2.043663346,2.895239165,3.772737483,3.571548661,
Burundi,BDI,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,BEL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.00013317,0.000157424,0.00017127,0.000177341,0.000770002,0.000926189,0.000568028,0.000576751,0.000577499,0.000984581,0.00144339,0.000921603,0.00033843,0.000663933,0.001424863,0.00146376,0.00059045,0.000292644,0.00016402,0.000135775,0.00014364,9.92E-05,3.59E-05,3.41E-05,6.31E-06,1.25E-06,1.30E-05,1.09E-06,0,9.54E-07,3.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,BEN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burkina Faso,BFA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,BGD,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.000259416,0.002976022,0.008165913,0.013238434,0.045553016,0.06052029,0.026996178,0.047324665,0.083009126,0.01761766,0,0.039413423,0.026156872,0.012497558,0.046669973,0.04047032,0.044800594,0.040007285,0.093812235,0.083094399,0.074795942,0.075886246,0.088067983,0.109750095,0.154732819,0.143787777,0.143754319,0.214354227,0.361800431,0.392023478,0.485983388,0.476685903,0.49197111,0.716023462,0.991582539,0.695594891,0.586127252,0.823832444,0.614907996,1.090497092,1.113364845,0.803644711,0.810156816,0.685135827,0.355536073,0.376921762,0.473864687,0.343833422,
