Report generated on: 11-03-2021 14:17:58
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","energy consumption per capita (MMBtu/person)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-WORL-MBTUPP.A","    World","68.15564673725598","66.12698362649101","65.00506717998432","64.73867502289018","67.2116599082649","67.75525575449825","67.93226752590806","68.86449585069683","70.18370123912418","69.53867839251154","66.826099457173","65.64489396018853","64.42675437499672","63.763257010176545","63.52390838684973","64.35197207477097","65.14418739218567","64.44584717593614","63.97972606371842","64.347279895471","65.58230924051902","65.21529046909588","65.78182463726333","67.2458117161215","69.86119523739714","71.25221550105967","72.58701353592774","73.66017201831386","73.77887082108725","72.20115033056445","75.96360078655408","76.97258051958336","77.61596121260725","77.98722153194154","77.71627645689568","76.85637555743645","76.03018207267314","77.20580122295863","78.54297438840183",""
"INTL.47-33-AFG-MBTUPP.A","        Afghanistan","1.9902831338720353","2.2737731366371663","2.476057805069556","3.11235738067043","3.212166236643484","3.206091479049969","3.332526591235134","5.434543297122344","9.573143958136207","9.214378634021795","8.726854929139892","3.567049985636651","2.1595226780561516","1.964311751662966","1.7616325396998394","1.3996407242653586","1.318606693412316","1.2229821749048069","1.1672808143688678","1.1416224087889384","0.9710328129547602","0.7365432711255625","0.668538661649472","0.7503633521957501","0.6638034575504376","0.8184187715747253","0.9998175876840902","1.2639880937503156","2.1111698110731996","3.3579667580742125","4.061555520719247","5.347433782037638","4.736874741480483","3.8582527606273733","3.4255622019929817","3.6697740511736567","3.32294192971859","3.4422777418168047","3.431824790748857",""
"INTL.47-33-ALB-MBTUPP.A","        Albania","60.752906333637476","59.20471634727863","58.361926760819614","59.52323005683565","58.67682750151277","57.26436102552498","54.554686870223655","53.326846191744856","52.668682558844885","49.21577929874652","34.94914183656983","29.363397602421028","25.93779775602281","23.10761605610659","22.30344022521837","24.912199342508423","27.54142926420847","25.14611620129597","26.952941503916364","24.163779540650292","31.32934599044218","29.690814680184662","32.19567774049347","36.40848489892904","38.69708631714531","38.70388541636516","36.72501449575394","31.913451810510672","35.2168276402469","38.70478492761921","42.92865789114989","36.333563628082516","35.68232323576935","43.759713224585504","40.0019793601861","40.2340417763733","44.90183992188814","42.885140466568366","48.244139522730165",""
"INTL.47-33-DZA-MBTUPP.A","        Algeria","40.61530286672366","33.46354339032917","46.5551641047492","50.73295974373409","51.95770520367143","46.64949943908242","46.155419424041966","47.88021745831313","49.629527906439925","46.8124387602409","47.27199970147582","51.28774778027128","48.16498089653647","43.32073563935326","43.70745074471959","44.83447466686076","43.178111886467626","40.47113201806514","41.427073622847885","40.69098874600043","41.045444894898765","40.55701132459125","41.04380659318428","41.008962855319425","39.624433310186824","44.96168017230101","46.36273996080796","45.35798390217349","48.29804593530833","50.49330478626361","49.413253929302826","52.861873082392634","56.125875710745674","53.42370884022648","59.08736571185966","59.19709604738706","57.609648342121254","57.04872044051388","59.59042129438301",""
"INTL.47-33-ASM-MBTUPP.A","        American Samoa","180.5156037493108","205.52735082045044","276.1121453900709","167.16753405470723","183.03520529173036","164.64715073761988","163.34502298207642","163.1494822999532","152.87225145795279","170.09176081840764","173.41200648404333","168.64615941255008","169.26243983886485","161.03872542140337","153.63438470102696","146.55425539399184","144.09634019294978","144.9373113670524","142.4860385430204","140.28348202548509","135.54077445910642","133.98131637432914","134.85632379823983","133.89539543560113","133.49829275648867","142.09531832376337","145.6165175021571","147.46775464747708","150.1171676059278","151.84368329128662","153.47911874320155","88.08459434095352","88.4719067497301","88.15732227410527","88.03407172944071","88.000915373486","88.35445012791303","88.30472664183095","88.48279628267623",""
"INTL.47-33-AGO-MBTUPP.A","        Angola","6.997256775185586","6.696814069512879","6.925958564653651","7.145537041250875","6.229453559657355","7.404815282921243","7.059355626398969","7.029102131123003","7.001739139862667","6.546028608094423","6.718935398090189","6.812131048502314","6.6892286291023435","6.357411915869981","6.005854315081681","6.238312774287927","5.806087231870673","6.31515501694505","5.503247441339618","5.946264412077974","6.752911822204013","7.094573619555762","7.312659828399827","7.8454117321587145","8.381498845124181","6.887931407701192","8.375992178335771","9.279723788780894","10.480210991589445","11.491561140969964","12.151704803709508","12.284364739912554","12.376183787509108","13.36731054473051","14.207058398288162","14.337035161775043","13.570593910513999","12.630798271477824","12.616890549503296",""
"INTL.47-33-ATA-MBTUPP.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.47-33-ATG-MBTUPP.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","92.73595998958766","92.26681129114476","95.44608279628356","93.28069747399657","91.76333982883152","89.82143238684073","94.40721953110868","98.85294436597158","97.04518152240551","97.69271283830965","95.73145204795205","93.84764690099276","95.9030369571223","94.54593024462378","99.94587397204202","103.60462891019175","105.99794838934433","106.1777286342098","107.69555086281461","111.10104591314933","111.90411883451115","115.46841388710779","109.98043121663058","108.30774332441091","109.93692801042477","108.61389114505442","109.72148139576119","110.97811549518549","111.60473668606474","105.15942555935796","107.660569421424",""
"INTL.47-33-ARG-MBTUPP.A","        Argentina","59.54354377678343","57.17614445886845","59.06072012012722","58.89895257040336","62.16801272587964","58.57102625811196","61.85436982413257","62.456148451571565","61.828185215771235","60.252238044324024","57.6564031308632","59.477102051605385","60.905945908832855","64.94014374370029","64.80172547868509","66.0361446862161","67.66628138505591","68.76621183955005","71.03404036442687","69.95251999746884","74.86106566246684","72.67380878080921","67.65413379114293","72.57971983709034","77.18214404431274","80.26877897720736","84.54451035331775","85.13571690502835","87.64610105799886","84.87760298304948","86.89885431356329","87.8236621358519","88.75141183859645","89.07745893823675","88.43054759782608","88.81693863264118","87.97686860420198","83.2752293029939","80.56202018306163",""
