Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Bahrain,BHR,547.3073971,596.2364824,487.1994921,567.0924538,544.9232405,532.7237254,515.0273669,558.7863597,527.839728,491.6743831,605.4439965,589.2220028,593.2834993,576.1062051,553.8712339,575.857991,568.619517,539.5062361,532.103588,493.3297439,478.3799478,486.6064221,516.7010011,554.3410978,523.8711333,506.9909527,486.545104,475.0945486,480.4392617,
        Bangladesh,BGD,2.317566798,2.410375137,2.647463237,2.80305307,3.037431038,3.25234956,3.30651486,3.323036999,3.483920979,3.838730893,3.99903397,4.297432664,4.439495822,4.802497506,4.891278482,5.123497627,5.450782459,5.654607264,6.043859348,6.291395158,6.561404985,6.823043818,7.269839161,7.354913949,7.677652168,8.489657307,8.973519627,9.143376923,9.614602053,
        Barbados,BRB,71.94275071,72.47298767,76.2721451,74.05508925,69.96148298,72.31890863,64.666605,77.5233688,78.40445591,81.74229182,87.53601782,87.27223325,87.56106316,88.20187865,88.55192956,88.90208384,88.7330421,84.28677981,98.94247739,92.86366028,89.17371653,93.30590717,87.47535098,88.64792872,76.95016998,81.71096181,83.43941659,78.70469176,83.70210589,
        Belarus,BLR,--,--,147.9147161,126.3550836,104.7159529,99.1155738,99.47116735,98.98574426,97.35571537,101.0917028,110.5060343,102.8927319,100.5948588,106.0513158,99.91400602,113.0265141,121.1813179,118.0410358,119.8528572,111.7625862,119.1403726,123.3219952,124.3667882,118.7132741,118.8125596,101.0107628,99.96927763,99.54199784,105.531797,
        Belgium,BEL,222.068502,229.0850832,228.4184392,224.247925,237.8643661,240.9735047,254.3571522,254.9841822,260.6338737,258.2976502,263.5898878,262.1005348,259.5183433,266.7606543,269.1369663,265.0495872,262.5715339,261.7865739,267.7459592,242.337026,257.5948592,238.2942796,230.2055876,236.0957595,219.4992799,220.8954668,233.2175058,233.7022995,234.3539135,237.7555547
        Belize,BLZ,26.07453008,28.98640792,23.89849091,23.43852511,21.91455741,26.41044261,22.84990305,34.03374862,32.20930266,32.27559342,33.29991577,35.5403904,33.43340738,31.94293246,29.98654233,31.28485282,35.05919099,32.22880039,30.37751981,30.87064721,35.76375944,30.46341278,30.92090028,32.94408431,32.05428716,34.69568971,34.03171461,37.07580461,32.48904751,
        Benin,BEN,1.752359953,1.980104826,2.124834231,2.256111819,2.280993873,2.382089306,2.519833581,2.64456923,2.767770263,1.319238937,3.411573322,3.767210719,4.186919493,4.715654764,4.824927312,4.39769138,5.838961477,6.698699011,6.659763236,7.188876457,8.016396562,7.266581028,6.706384321,6.64500826,6.832509696,7.34991114,9.034838015,8.9909299,8.746353121,
        Bermuda,BMU,151.0720016,131.5828303,102.2049201,118.0726468,113.1336009,115.37642,118.4571498,117.5581973,116.981962,116.4115769,126.6096606,127.9307807,134.1183778,133.307682,137.5143242,144.2622164,163.3619341,190.2421215,182.4717361,143.9609758,169.9578202,110.4116255,120.033097,121.2051265,157.801777,133.4049006,170.5555463,168.9949783,175.6218739,
        Bhutan,BTN,23.98058073,24.38262113,24.72812492,24.78895262,26.45804397,28.21404546,30.29292628,29.90637248,28.6646753,28.39557939,28.71160364,31.0882506,33.74321381,36.88951429,34.85782833,38.79564098,62.13987856,76.78564639,78.48594851,80.5117395,85.28815344,81.97463437,78.6861035,86.12152352,81.48469771,84.34252623,85.69534652,84.1319248,78.46369066,
        Bolivia,BOL,13.43914672,12.94752855,13.68857845,13.22447299,14.46673568,16.24025682,15.58713213,17.13307293,15.57958156,17.16110845,17.66716321,14.83367539,15.87895899,20.95604584,21.34243912,20.53919158,22.21516992,23.46227177,23.67823013,22.95096698,22.90807661,23.32928016,27.21392613,27.14880467,26.96576239,27.91726597,28.49030883,27.68226525,28.18580544,
