,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
16,Benin,BEN,19.95,20.079999999999995,20.2,20.32,20.600000000000005,20.46,21.93,22.21,23.34,23.11,23.34,18.5,19.719999999999995,19.520000000000003,19.48,20.9,21.45,22.469999999999995,22.08,22.84,23.46,23.700000000000006,23.630000000000003,24.12999999999999,24.739999999999995,25.410000000000004,27.360000000000003,27.889999999999997,27.332417930364603,26.973001655936237,26.664780567288393,26.387786689400667,26.131828670501704,25.88959251284599,25.65566155970096,25.425812408328053,25.196616412401195,24.965180546641346,24.72903434991836,24.486081232428546,24.2346158260107
17,Bhutan,BTN,-2.93,-2.88,-2.89,-2.92,-2.89,-2.79,-2.78,-2.7,-2.68,-2.62,-2.68,-3.03,-3.0,-3.03,-3.05,-2.86,-1.42,-1.3099999999999994,-1.4700000000000004,-1.4500000000000006,-1.2600000000000002,-1.9900000000000044,-1.7699999999999978,-1.8200000000000012,-1.7099999999999986,-1.690000000000005,-1.469999999999999,-1.3700000000000006,-0.9493079268932342,-0.8539862394332886,-0.8348198187351227,-0.8311359465122222,-0.8304392457008362,-0.8303073740005492,-0.8302826213836669,-0.8302775001525878,-0.8302768599987029,-0.8302766466140746,-0.8302766466140746,-0.8302766466140746,-0.8302766466140746
18,Bolivia,BOL,110.14,110.93,112.75,114.52,116.59,116.17,112.76,113.79,114.8,120.27,110.87,110.27,118.68,114.67000000000002,133.05,128.59,133.63,142.6,135.82,133.38,169.87,142.83,137.67000000000002,137.6,138.71,141.95,150.52,151.69999999999996,132.28300585955384,126.73487874507907,123.41913119420413,121.01562330737713,119.0868919593096,117.43230824023487,115.94446758598092,114.55903833583,113.2342608497292,111.94156152442099,110.66089128689842,109.378446185682,108.08561813741925
19,Bosnia and Herzegovina,BIH,22.2,19.67,12.13,8.69,-1.64,-1.73,-0.6299999999999999,4.23,7.089999999999998,7.199999999999999,10.91,18.57,18.66,19.570000000000004,20.26,20.88,22.77,24.06,25.840000000000003,26.010000000000005,26.01,29.32999999999999,27.49,27.099999999999994,24.53,24.76,27.280000000000005,27.530000000000005,22.99573177456855,22.520181286334985,22.4360665500164,22.42035624623298,22.41743486285209,22.41688687205314,22.41678504943847,22.416764684915538,22.416760982275004,22.416760982275004,22.416760982275004,22.416760982275004,22.416760982275004
20,Botswana,BWA,61.18999999999998,60.63,60.89000000000001,60.57999999999999,60.85,61.78,75.65,86.57999999999998,95.96,80.47,68.33,55.49999999999999,148.35,89.43,30.210000000000004,79.22,41.56,83.81,46.17,28.27,37.57,47.85,34.15999999999999,66.36000000000001,34.31000000000001,131.82,69.97,76.03,74.78408222913743,74.40086111545563,74.10249725580215,73.86036850452423,73.66509876489638,73.50809566736221,73.38223409414292,73.28157346487045,73.20114659547805,73.13698474884033,73.08589217901229,73.04520278215408,73.0128194618225
21,Brazil,BRA,1496.37,1523.64,1533.58,1543.78,1560.1099999999997,1580.16,1576.14,1606.8,1641.73,1650.9,1647.41,1900.3,1945.72,1959.6300000000003,2006.25,2016.51,1422.0,1467.19,1455.75,1434.3,1541.66,1308.92,1354.86,1372.14,1416.0,1411.9500000000005,1381.11,1392.8,1473.9719729660453,1529.075314527452,1576.045324381292,1618.9567502903938,1659.464058676362,1698.1510238069295,1734.8797313046455,1769.0507808232308,1799.8780604112148,1826.6751613551378,1849.0742698061465,1867.108746703863,1881.154798851609
22,Bulgaria,BGR,86.94999999999999,69.73,63.86,62.38,58.49,59.71000000000001,60.18999999999999,57.66999999999999,53.83,46.9,46.32,46.61,43.54999999999999,48.36,47.1,47.01,50.99000000000001,55.2,52.67,45.2,46.91,52.78,47.080000000000005,41.93000000000001,44.500000000000014,47.13999999999999,44.11,46.28999999999999,49.092483923137195,50.60523720979691,51.50061436593533,52.04065152227879,52.36903474539519,52.56972832679749,52.69273677527905,52.76825975775719,52.81468393862248,52.84323733896017,52.86080087006093,52.87161430567503,52.87826846957207
23,Burkina Faso,BFA,22.87,23.32,23.62,23.88,24.35,24.73,26.2,26.750000000000004,27.53,27.44,28.79,25.22,26.540000000000003,29.13,30.05,30.76,32.54,33.54,34.07,35.09,36.39,34.370000000000005,35.07999999999999,35.90999999999999,36.32999999999999,37.08,38.60999999999999,40.25000000000001,38.7490977728367,38.22997834920884,37.96409895420076,37.8194574058056,37.739113881588,37.693903880119336,37.66828018307687,37.65370466589929,37.64539030194284,37.6406436765194,37.637934722900404,37.63638290166856,37.63550132632257
24,Burundi,BDI,12.419999999999998,12.53,12.56,12.59,12.530000000000005,12.61,11.990000000000002,12.160000000000002,12.4,12.08,12.22,9.2,10.17,10.39,9.55,8.870000000000001,3.150000000000001,2.6899999999999995,3.4500000000000006,3.82,4.030000000000001,7.549999999999995,7.359999999999996,8.000000000000002,7.559999999999998,7.520000000000006,7.950000000000002,7.999999999999991,9.145555114746093,9.266718044281005,9.282686100006103,9.28469289779663,9.284944782257078,9.284976119995116,9.284979667663572,9.284981441497802,9.284980850219725,9.284980850219725,9.284980850219725,9.284980850219725,9.284981441497802
25,Cambodia,KHM,47.370000000000005,47.18,47.83,48.76,47.68000000000001,49.85,46.99,48.28999999999999,51.8,51.31999999999999,49.66,52.60000000000001,54.22,56.540000000000006,58.49000000000001,59.1,51.650000000000006,53.25999999999999,53.24,54.17,54.70000000000002,57.28,56.240000000000016,58.620000000000005,57.85,62.13000000000001,65.45999999999998,67.81999999999998,59.79955130577086,55.817862462103356,53.05757784068584,51.07703530237078,49.677808589488265,48.71618518538773,48.073028261289004,47.652195698767905,47.38120467608795,47.208606689926235,47.099475592672825,47.03080053362996,46.98771183496341
