,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12,Burkina Faso,BFA,93.15806029,93.25382296,93.29009799,93.47999276,93.60809416,93.14020004,92.15659354,91.39095485,91.01254906,86.85491661,85.40499878,83.67590332,79.34140015,79.07900238,83.52809906,86.54370117,84.61569977,82.42880249,82.93990326,83.59719849,81.45410156,80.57219696,77.17500305,75.42700195,75.24259949,72.71399689,72.26650238,69.08070374,66.96620178
13,Bangladesh,BGD,71.6649713,73.15966732,71.66070373,70.55712302,68.97990719,63.802809169999996,62.1240766,59.97285612000001,60.23397129,60.534395749999995,59.02180099000001,55.79859924000001,54.33649826,52.65309906000001,52.1413002,50.79719925,48.9280014,47.51350021,45.63029861,43.72520065,41.0746994,39.47409821,38.63600159,38.69960022,37.28649902,34.21630096,33.53620148,31.60320091,30.70619965
14,Bulgaria,BGR,1.9168485090000003,2.250552832,2.681073481,2.467834604,2.380942269,3.1067071960000003,3.546340551,3.8096627869999997,5.889736548999999,6.627507829000001,7.965300083000001,7.243500233,8.697299957,9.161600112999999,9.587100029,9.87349987,9.970399857,8.837400436,9.920499802,11.59780025,14.24059963,13.20320034,15.60319996,18.20639992,17.11720085,17.81990051,17.67300034,17.07999992,19.52750015
15,Bahrain,BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Bahamas, The",BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42160001399999997,0.380800009,1.5407999749999999,1.591500044,1.7115000489999999,2.010799885,3.540699959,1.9690999980000004,1.831200004,1.6529999969999998,1.424600005,1.182100058,0.95539999,1.1414999959999999,1.5405999419999998,1.534600019,1.4437999730000002,1.019299984
17,Bosnia and Herzegovina,BIH,7.300098695,8.759514761,11.57373703,14.60941503,33.38614494,33.22296632,32.852673200000005,27.598257430000004,26.73914622,28.431077319999996,19.3526001,20.273799899999997,21.21430016,20.14049911,20.09959984,19.73469925,18.12400055,14.840399740000002,14.277600289999999,17.43420029,19.56780052,14.15799999,15.27880001,19.47649956,23.675899509999997,25.275400160000004,23.02820015,18.51989937,35.40090179
18,Belarus,BLR,0.817357745,0.8986916979999999,1.047870378,1.251142467,2.070323489,2.527815888,3.1013098739999996,3.393372875,3.640444439,3.9758640080000003,5.6437001229999995,6.253900051,6.518899918,6.24630022,6.27120018,6.825200081,7.193099976,7.273600101,7.080200195,7.387599945,7.295700073,7.518499851,7.241600037,6.96999979,6.691999912,6.823999882000001,6.734499931,7.288599967999999,7.219799994999999
19,Belize,BLZ,38.01163269,32.44136066,36.28913576,35.59518129999999,34.08094643,34.92029263,42.68214743,36.65767999,35.32468636,35.03215104,34.55260086,29.60840034,31.193000789999996,30.17499924,32.0177002,31.012800219999995,36.80160141,32.31069946,34.06290054,29.18020058,32.92869949,44.35599899,50.07450104,40.99000168,40.23770142,32.72639847,35.40999985,41.20339966,40.11629868
20,Bolivia,BOL,37.35900159,38.28154192,37.05265001,37.23544482,35.51942717,33.53601083,33.13726748,32.76115986,31.40213607,31.54482026,29.74379921,29.91160011,28.284200670000004,26.3125,25.225200649999998,23.13479996,21.79000092,20.59729958,18.17149925,16.51659966,15.6388998,13.80630016,13.05930042,12.309399600000003,10.76980019,8.198599815,8.141599655,7.460800171,7.572500229
21,Brazil,BRA,49.86467493,48.93816849,48.70118267,48.19908801,48.35000852,46.13435665,44.53288239,43.72510837,43.86157674,44.09727587,42.76399994,41.43610001,42.9715004,45.24840164,45.32030106,46.27059937,46.82400131,47.3348999,47.1814003,49.03850174,46.92419815,45.34329987,43.55110168,42.43130112,41.82920074,43.74060059,45.5766983,45.43640137,47.06169891
