,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
30,Cote d'Ivoire,CIV,34.25540049,35.206036700000006,33.01862048,32.09623019,20.37155024,29.647742820000005,22.03410396,18.56354688,15.824914900000001,16.68382563,26.224586969999997,29.376961999999995,24.25694895,32.50949847,32.29916434,33.30971621,28.974432539999995,35.15468123,35.49801146,40.25490475,42.0429919,36.59055252,41.47229036,41.60714156,40.48060338,44.563253176300385
31,Cameroon,CMR,67.37966457,68.22121389,70.80867713,70.36132127,69.18074733,69.51032207,69.90407976,75.85067815,77.26166214,73.52906728,76.01413926,76.67612827,74.94785653,73.97276515,74.9256406,75.92287113,75.27958214,74.41022167,74.97781640000001,77.30712698,76.95310387,75.71843548,75.54988015,76.76212718,76.68569263,76.14637256577855
32,"Congo, Dem. Rep.",COD,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
33,"Congo, Rep.",COG,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
34,Colombia,COL,58.51363363000001,59.397971999999996,58.764414079999995,58.57040387,57.93665152999999,59.28411092,57.25565493999999,58.918624939999994,63.72876919,61.00568975,59.02715912,57.21194443,55.00195317,56.59465626,47.9928658,46.89102785,47.72020792,49.06389155,48.9982241,48.07062372,47.51590421,48.26480979,47.88482987,49.37779479,49.88027273,51.636815258475465
35,Comoros,COM,99.55043982,99.60232746,99.64979694000002,99.67524792999998,99.27721577000001,97.36608426,97.59309465,97.58644257000002,97.67729229999999,97.69161926,97.8604881,97.82739383,97.77565525,97.81017484,97.50079665,97.43157066,97.50689329,96.71664611,96.1058446,95.78148443,95.39065382,94.89409483,94.16552487,92.99080984,92.90621503,91.42953608233861
36,Cabo Verde,CPV,91.62584689,91.74658829999998,90.47874402,89.70098405,88.48359884,89.26306987,89.26163926,89.55314042,88.81523707,87.93101343,89.96283546,89.02093783,86.87193923,84.24960425,83.69024338,83.67512072,82.97817308,83.06227734,81.42330557,79.65769772,80.55980081,79.28733913,77.20089283,77.18176944,75.27852225,77.73458706
37,Costa Rica,CRI,86.83788464,87.09636477,85.95284872,86.00930915999999,86.02180942,85.81095471,85.90869753,84.62946066,84.92246199,83.93137164,83.62197514,83.60503302,83.27815679,83.18231409,82.56602162,81.85567627,81.27188318,81.27195016,80.80225178,79.96746885,79.56035026,80.37020876,80.62522298,81.08826801,79.71052694,78.86255106
38,Cyprus,CYP,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
39,Czech Republic,CZE,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
