,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10,Belgium,BEL,333.69863829999997,327.54001560000006,324.14726349999995,320.3537784,316.2938391,312.7616182,352.91942989999995,355.23805550000003,340.2011506,344.56165289999996,288.7686562,297.9549306,310.0394769,317.1983561,321.3553595,313.10638650000004,358.89867369999996,379.2278696,376.85972549999997,384.4468794,397.1365504,396.7712555,399.6762753,406.24796969999994,416.7906195,1774.6503363733113
11,Benin,BEN,123.46197910000001,118.8982674,122.7269488,126.79890999999999,129.6307985,138.0581336,135.9485331,139.05107859999998,141.9769719,140.9798597,143.05380580000002,153.5600603,154.3926623,159.8950032,160.2451072,163.9427353,173.3027676,178.8510364,185.58211530000003,193.0731169,206.7611552,212.05828640000001,219.97266159999998,222.06140499999998,229.25054029999998,1609.8770756349916
12,Burkina Faso,BFA,3237.35265,2536.644005,2396.007266,2590.011252,2519.859145,2746.667734,2745.710003,2504.12268,2425.946246,2230.6603010000003,2277.367967,2421.1453610000003,2410.969355,2490.416673,2440.6981600000004,2597.8961670000003,2691.460438,2666.1114450000005,2648.867056,2351.655053,2416.703907,2617.127869,2513.3523809999997,2329.122801,2477.655401,3611.6300230326488
13,Bangladesh,BGD,10555.35593,10108.413340000001,10837.8304,11142.38212,11555.4941,11408.53968,11109.80522,12181.28275,12406.811499999998,11851.619690000003,11988.79343,11738.12917,11548.675079999999,11566.54484,10894.98895,11675.551109999999,11604.14034,11233.86368,11318.21701,10339.19963,10207.83502,9912.695898,9659.611737000003,10419.815840000001,10596.566209999999,10572.991520770855
14,Bulgaria,BGR,2518.537637,2091.54528482389,2151.826733563726,2117.0364620076443,1744.4247815925046,1789.7642073990992,1858.9280205306695,2119.8128779246395,2158.347095943999,2208.945150470888,2051.0839568423926,2175.1712961231783,2351.459423287825,2292.136851153689,2082.203121,2142.540511,2132.724329,2101.444335,1948.2455500401175,2013.095527162782,2030.1495355801676,2137.663649273038,2091.6309223844733,2177.1526116064915,2144.089239730519,3235.87107930328
15,Bahrain,BHR,1572.24569,1445.675757,1050.834346,908.6824027999999,364.5502749,390.224309,463.6125787,721.1848279,896.7562657999999,885.2638263,1158.63132,1118.3891210000002,1172.064131,1169.271584,1277.606308,1338.5212780000002,1407.556709,1409.614831,1587.939144,1664.229532,1749.120356,1951.711105,1854.11343,1821.8279350000003,2246.918388,3197.116181144037
16,"Bahamas, The",BHS,4465.3750119999995,4348.467922,3620.731989,3076.7007519999997,2615.739317,2427.669413,2501.3488190000003,2505.6046260000003,2466.16516,2411.5689469999998,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.3779670000004,2917.907033,2932.103273,2790.137339,2900.042284,3097.6566239999997,3222.44927,2881.507357,2928.520216,4050.80703459402
17,Bosnia and Herzegovina,BIH,566.3328961,595.4014517381639,612.8665937743207,600.1940558385363,558.7121185557203,576.9476946897065,593.7767889867628,665.3769730911937,677.764672129592,690.4773721282172,640.2111123712372,672.499363873068,719.4257743265446,704.2776712761863,560.5462252,567.3049141,590.3795591,595.2560102000001,621.0656862891141,640.5512172532394,648.8498769913346,661.754593235362,660.0816740735289,702.9892307536446,690.412873070117,2001.2545096530002
18,Belarus,BLR,380.28437369999995,383.8254137,398.0578186,416.7244073999999,449.25437860000005,493.8733989,520.2657885,556.1087417,551.0608501,531.0234895,582.6748251,444.80191940000003,523.3246199,534.1188122,525.1456493,562.6299446,691.9549028,554.1493286,579.4804215,593.6412407,636.1378607999999,660.9914216,747.869104,740.1699332000001,778.1687546,2058.960874156984
19,Belize,BLZ,940.9658549000001,942.0380381000002,935.7464623999998,943.3269951999999,976.9821774000001,994.2898492,1030.6680720000002,1066.186951,1075.199081,1083.403984,1072.379544,1076.275492,1090.349848,1094.424682,1141.49111,1156.9075369999998,1184.145121,1238.4116279999998,1294.480833,1240.1773039999998,1358.5024019999998,1367.188049,1413.733385,1461.0767739999997,1495.541141,2693.964031691474
20,Bolivia,BOL,1233.9884949999998,1265.850324391479,1302.5022210202442,1266.6791010443471,1195.5952328877484,1228.389128864307,1273.3288268160888,1446.599690485677,1473.0314973055401,1506.0935984126404,1398.0347564334752,1479.6311504053053,1596.0417584917388,1557.1661754868485,1362.2345,1411.407064,1434.363456,1438.817945,1348.0509036497758,1392.3855772597235,1405.4801273187377,1470.2087411724808,1444.2369870575992,1510.4871555831453,1486.688689372691,2675.0678806330775
21,Brazil,BRA,105.45373500000001,296.7388011422967,305.65688281830603,292.8593621010749,354.52859751774827,368.09680386446814,375.91369183423825,414.9184485002922,422.80363316497557,428.9923536831585,397.25428640366084,413.7344407542179,438.38434895802266,430.84323107252544,281.7743645,314.4537753,320.95941,366.9873795,405.88052606473985,418.01079503180205,424.88988749056193,422.454905699071,427.97435932250664,463.9725820160931,454.71793041923,1792.66695765432
22,Barbados,BRB,946.7941086000001,935.5337056000001,1048.6747369999998,1025.0788,985.4692373999999,985.1304101000001,938.4106321,961.7787051000001,1061.294165,1072.53487,1092.486428,1084.605123,1082.375309,1060.3786810000001,1024.378474,1037.421411,1050.642433,1062.923297,1101.248358,1007.2961539999999,1083.9114769999999,1026.7271210000001,1150.639038,1203.316185,1300.633577,2459.429903651473
23,Bhutan,BTN,7630.092306000001,7517.330304000001,7601.685176999999,7770.546447999999,7957.245632999999,7979.898445999999,8053.454858,8056.243628,7948.397278,8107.515156,8265.079925,8056.349425,7993.879384000001,8341.343144,8455.547014,8422.034308,8239.946371,8213.389543000001,8194.880771,7797.121136,7788.560786,7911.554588,7733.411655,7743.7257420000005,7897.855615,7631.3415700000005
24,Botswana,BWA,3627.6928110000003,3637.19412,3613.284329,3490.8865539999997,3494.447149,3421.6510409999996,3473.206304,3525.8913009999997,3557.9900759999996,3547.3728899999996,3480.591572,3673.2925729999997,3553.7402570000004,3542.065603,3530.5783450000004,3488.2183479999994,3619.151639,3410.8198829999997,3499.790982,3481.8528450000003,3347.618356,3205.3282710000003,3202.8343370000002,3304.115438,3059.936749,2960.073389
25,Central African Republic,CAF,1055.349092,1061.48776,1129.087208,1138.481258,1204.921227,1275.4283050000001,1392.7130240000004,1538.5277800000001,1572.719869,1650.6112560000001,1640.4106929999998,1591.72562,1630.1248249999999,1629.900132,1717.8593879999999,1752.7284829999999,1805.2207870000002,1852.504576,1815.208171,1748.328693,1807.916188,1950.2374550000002,2138.2978940000003,2202.114719,2032.933612,2005.5507280000002
26,Canada,CAN,766.9953294,736.8518014,752.6286624999999,788.1287236000001,816.16289,866.8343743,881.6537374,871.7563238,869.3586072999999,878.5245355000001,898.9873131,928.8114337000001,984.8107146,1118.431773,1268.1329039999998,1393.6913240000001,1515.1736779999999,1630.1710289999999,1672.90412,1778.4335190000004,1954.722556,2086.486904,2155.164788,2213.7593269999993,2236.729908,3349.315137976693
27,Switzerland,CHE,364.3743627,361.57846000000006,380.497826,380.41513789999993,376.6458703,362.9620756,394.7592673,390.4046838999999,377.9560056,438.1728372999999,412.64511089999996,387.47157999999996,405.0570294,374.91540299999997,517.4602611,524.0361866000001,504.3240933999999,531.0257286,521.9084191000001,467.4630482,494.9526965,554.066138,586.274506,612.5489225,612.6404514999999,1940.3539800683295
28,Chile,CHL,422.81949380000003,414.33584289999993,406.72486150000003,408.88314610000003,411.33920710000007,407.1698173,406.15277050000003,406.83633330000004,407.7811039,400.3710017,406.70882919999997,400.7898218,399.53110499999997,404.7985256,406.3219865,397.8109002,368.9173705,338.474117,332.1718323,349.3706544,342.496395,321.1589546,322.2788435,329.58731370000004,335.2015816,1705.3867594551325
