,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12,Belarus,BLR,78.31126761666667,78.31126761666667,89.29108385,79.72798858,65.91473042,61.57393445,59.95077236,58.91164126,56.65584198,57.93624122,59.29046609,53.85218374,50.70695177,55.73532109,54.74894077,64.14220725,66.31182698,59.5477521,66.69679601,60.85408891,64.13182001,66.50656537,65.14147821,62.11502669,62.45465237,53.1364452,52.84051604,52.85619767,56.48749735,54.061403686666665
13,Belgium,BEL,136.6583554,141.6814325,139.7978496,137.3382965,154.2934224,155.9786293,164.311399,161.1409657,166.4436533,162.385009,168.6061919,166.3442676,164.8135424,169.6112173,171.3902715,169.8301134,164.9638988,164.6584591,173.8422202,157.2234428,169.8245737,154.0992501,152.0840876,157.5500544,151.3769874,155.552449,158.375532,158.9907007,164.5666199,159.8074727
14,Belize,BLZ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.9,0.8,0.8,0.9,1.0,1.0,1.073313812,1.0,0.5,0.5,0.423049876,0.476432412,0.516362349,0.505700203,0.597846,0.591488,0.676589459,0.577712955,0.6152634713333334
15,Benin,BEN,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.3,1.7,1.7,1.7,2.1,2.4,2.5,3.0,3.303225783,3.403617675,4.500232667,5.100114705,4.722990331,4.372044823,4.538610429,4.840767399,5.375044116,6.605891585,6.976974384,6.947637191,6.843501053333334
16,Bhutan,BTN,0.114148015,0.116088418,0.122191085,0.12412262,0.16544473,0.176947714,0.177733456,0.178519197,0.180241275,0.198763745,0.217286214,0.220313797,0.330248803,0.321628372,0.344729434,0.364410679,0.367068536,0.338869663,0.366884005,0.458871633,0.492486226,0.540145378,0.583256167,0.610481699,0.589683437,0.625257036,0.736112404,0.870389428,0.895528305,0.8340100456666667
17,Bolivia,BOL,4.8917,4.779473333,5.197813333,4.992891168,5.755007116,6.787921242,6.455985558,7.123834197,6.703551915,8.0622599,8.767200111,7.705578224,8.897322846,11.18600892,11.39020046,11.2314096,12.49924128,11.08751308,13.72146363,12.74127149,13.32587566,13.24776444,15.48472019,15.80603242,16.1814403,15.93731657,17.25413277,18.09213779,18.33556584,17.893945466666665
18,Bosnia and Herzegovina,BIH,6.825497128666666,6.825497128666666,8.455783826,6.073801738,5.946905822,9.986675046,4.76732975,10.34973095,13.10814644,12.81798659,14.59038311,14.42719838,15.01614571,13.48744115,12.47860196,11.00687131,11.12803019,11.33661238,12.58624072,15.18080673,16.29191105,18.01481034,17.55058188,16.56203896,16.73013159,16.97437988,17.54152387,18.42998613,17.25052532,17.74067844
19,Botswana,BWA,2.564767713,2.607885419,3.252271257,3.055759068,2.991893675,3.02467312,2.721831559,2.787109709,3.053071438,2.798868952,3.861523501,3.511330594,3.489899564,3.290869915,3.749805131,4.061087521,4.238218136,4.07774137,3.940151317,4.180684536,4.219064426,4.385739465,4.186221336,4.327005721,4.670282678,6.004342771,6.78770549,6.264534639,6.188921367,6.413720498666667
20,Brazil,BRA,243.0698044,251.544042,243.9062542,265.1285576,279.3921763,299.8191878,316.6338903,333.1501133,329.4923513,341.8133297,329.9405786,335.1850948,333.035089,330.9611014,343.7141004,349.6086534,352.2928628,367.1107958,387.3941224,370.3256076,412.272244,434.6779194,461.9416182,490.7513077,512.9358088,509.9361537,474.190126,484.1355096,461.814555,473.38006353333327
21,Bulgaria,BGR,79.0865997,61.19213315,59.09190249,56.11330955,57.31833917,59.96244573,58.54298502,54.63050795,48.09133492,43.34901442,45.00045913,44.48591025,43.35275129,45.90707498,45.91875579,46.11988933,47.05003179,45.63965199,47.77931738,42.3017047,42.03423825,48.14907647,44.46320148,39.92323961,42.66332011,44.94889768,41.72941542,44.12471986,41.54275969,42.465631656666666
