,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23,Burkina Faso,BFA,22.87,23.32,23.619999999999997,23.88,24.349999999999998,24.73,26.2,26.750000000000004,27.529999999999998,27.44,28.789999999999996,25.22,26.540000000000003,29.13,30.05,30.76,32.54,33.54,34.07,35.09,36.39,34.370000000000005,35.07999999999999,35.90999999999999,36.32999999999999,37.08,38.60999999999999,40.25000000000001
24,Burundi,BDI,12.419999999999998,12.53,12.56,12.59,12.530000000000003,12.61,11.990000000000002,12.160000000000002,12.4,12.08,12.22,9.2,10.17,10.39,9.55,8.870000000000001,3.1500000000000012,2.6899999999999995,3.4500000000000006,3.8199999999999994,4.030000000000001,7.549999999999995,7.359999999999996,8.000000000000002,7.559999999999998,7.520000000000006,7.950000000000002,7.999999999999991
25,Cambodia,KHM,47.370000000000005,47.18,47.83,48.76,47.68000000000001,49.849999999999994,46.989999999999995,48.28999999999999,51.8,51.31999999999999,49.66,52.60000000000001,54.22,56.540000000000006,58.49000000000001,59.1,51.650000000000006,53.25999999999999,53.24,54.17,54.70000000000002,57.28,56.240000000000016,58.620000000000005,57.849999999999994,62.13000000000001,65.45999999999998,67.81999999999998
26,Cameroon,CMR,136.74,136.43,136.38,140.56,196.99,197.04,191.95,192.8,196.63,195.88,197.55,196.87999999999997,195.3,203.03,199.67000000000002,206.77,197.71,202.39,204.65,202.27,201.34,200.89,199.11999999999998,208.97,202.92,207.72999999999996,208.94999999999993,210.23
27,Canada,CAN,652.57,648.5,664.43,662.45,683.03,698.44,693.09,689.92,798.91,733.18,718.46,890.59,981.61,1001.5299999999999,961.03,970.63,880.97,892.54,875.8299999999999,798.91,881.05,758.1,794.68,861.92,827.61,868.8400000000001,779.08,792.95
28,Cape Verde,CPV,-0.16999999999999998,-0.15,-0.12000000000000008,-0.10999999999999993,-0.12999999999999995,-0.09000000000000008,-0.11,-0.08999999999999998,-0.05999999999999999,-0.030000000000000148,0.0,0.42999999999999977,0.47000000000000014,0.5000000000000003,0.5400000000000001,0.6399999999999997,0.6299999999999996,0.5900000000000006,0.6100000000000005,0.6600000000000009,0.6999999999999994,0.5899999999999943,0.5599999999999996,0.5499999999999974,0.5499999999999986,0.56,0.5999999999999973,0.6299999999999998
29,Central African Republic,CAF,52.27999999999999,53.03999999999999,53.52,54.0,56.94,57.51,58.71999999999999,62.39,67.98,64.63,66.24,60.89,57.14,64.8,59.66,61.92,60.35,61.96999999999999,64.74,58.07999999999999,62.11,66.47000000000001,63.84999999999999,67.22,67.55,70.72,75.62,76.04
30,Chad,TCD,25.24,25.52,25.77,26.09,26.31,26.72,29.33,30.98,34.77,35.72,35.05,30.769999999999996,34.61,36.56,37.84,39.92,57.34,57.98,57.59000000000001,55.87,57.400000000000006,57.51,58.26999999999999,57.44999999999999,56.949999999999996,97.42,102.57,106.71999999999997
31,Chile,CHL,35.53,34.8,37.14,38.5,42.03,45.49000000000001,51.65,58.95999999999999,60.160000000000004,62.96999999999999,59.27000000000001,62.730000000000004,63.74,64.64,70.05,70.91,71.44,79.83,84.56,81.8,86.46999999999998,-4.710000000000002,-2.579999999999996,0.2599999999999988,-5.809999999999994,0.36000000000000365,3.6200000000000037,4.630000000000001
32,China,CHN,2901.7400000000002,3051.31,3182.64,3405.7599999999998,3556.72,3946.1700000000005,3980.4600000000005,3989.5,4128.98,4079.23,4276.11,4452.24,4763.01,5385.86,6132.29,6857.63,7485.37,8104.469999999999,8398.829999999998,8992.51,9828.01,10784.95,11110.34,11568.63,11583.36,11578.25,11577.979999999998,11780.99
33,Colombia,COL,273.46,275.22,278.88,282.9,284.99,288.01,285.3,290.34,292.06,281.75,286.06,309.75,308.78,318.22,319.56,315.33,309.99,317.95,316.82,320.7600000000001,325.18,182.61999999999998,181.2,188.01,195.19999999999996,195.22,222.63999999999993,216.67
