Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-BHR-BDOLPPP.A","        Bahrain","NA","NA","NA","NA","NA","NA","NA","NA","17.312","17.3494","18.141","20.1522","21.5232","24.3172","24.2533","25.1588","26.1891","27.0232","28.33","29.5342","31.1057","31.8805","32.948","35.0226","37.4675","40.0037","42.5907","46.1231","49.0021","50.247","52.4261","53.466","55.4593","58.4634","61.0068","62.523","64.7476","67.5264","68.9688","70.4285","66.8741"
"INTL.4701-34-BGD-BDOLPPP.A","        Bangladesh","NA","NA","NA","NA","NA","NA","NA","NA","148.232","152.035","162.147","167.559","176.005","184.047","191.575","201.006","210.301","219.743","231.119","241.913","254.718","267.651","277.91","291.082","306.334","326.355","348.13","372.702","395.116","415.05","438.176","466.501","496.924","526.807","558.737","595.349","637.699","684.152","737.951","798.113","839.936"
"INTL.4701-34-BRB-BDOLPPP.A","        Barbados","NA","NA","NA","NA","NA","NA","NA","NA","3.65318","3.78474","3.65984","3.51663","3.271","3.31097","3.43628","3.5058","3.64485","3.81763","3.96042","3.97333","4.15026","4.05201","4.08407","4.17274","4.23144","4.39922","4.64859","4.75095","4.7841","4.54127","4.4374","4.40752","4.3877","4.32577","4.3203","4.426","4.536","4.55766","4.53109","4.52673","3.76844"
"INTL.4701-34-BLR-BDOLPPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","8.99849","8.34777","64.9134","58.1546","59.7837","66.5986","72.1936","74.6485","78.9782","82.71","86.883","93.0023","103.651","113.436","124.778","135.568","149.461","149.705","161.335","170.626","173.569","175.241","178.006","171.204","166.865","170.95","176.402","178.892","177.174"
"INTL.4701-34-BEL-BDOLPPP.A","        Belgium","267.9961","268.3881","269.9461","271.0187","276.7159","281.8279","287.0511","293.8637","307.2803","318.3977","328.236","334.1465","338.5958","336.2506","347.3189","357.8923","362.6059","376.363","383.7498","397.3438","412.142","416.646","423.754","428.153","443.44","453.757","465.343","482.431","484.577","474.8","488.399","496.675","500.347","502.644","510.581","521.003","527.601","536.157","545.742","555.483","520.578"
"INTL.4701-34-BLZ-BDOLPPP.A","        Belize","NA","NA","NA","NA","NA","NA","NA","NA","0.698207","0.806245","0.895888","0.998986","1.1193","1.18943","1.19213","1.19995","1.21695","1.26052","1.30747","1.41914","1.59118","1.68285","1.76245","1.92696","2.01921","2.05843","2.15773","2.16875","2.24448","2.22226","2.31693","2.36146","2.41846","2.44995","2.54886","2.616","2.61513","2.66256","2.74003","2.78824","2.39858"
"INTL.4701-34-BEN-BDOLPPP.A","        Benin","NA","NA","NA","NA","NA","NA","NA","NA","10.0239","9.73778","10.6119","11.0603","11.3874","12.052","12.2955","13.0388","13.6026","14.3827","14.9524","15.7511","16.6737","17.563","18.3784","19.0113","19.8534","20.1935","20.9899","22.2465","23.3358","23.877","24.3818","25.1044","26.3122","28.2044","29.9976","30.531","31.5506","33.34","35.5729","38.0152","38.6186"
"INTL.4701-34-BMU-BDOLPPP.A","        Bermuda","NA","NA","NA","NA","NA","NA","NA","NA","4.4118","4.41731","4.30043","4.31167","4.19415","4.29576","4.36364","4.59911","4.77731","4.99734","5.19273","5.36875","5.52893","5.92819","5.84059","6.03979","6.1822","6.28571","6.57525","7.00978","7.3153","7.09929","7.14066","6.87341","6.50875","6.49054","6.25032","6.2988","6.2574","6.48338","6.49022","6.64648","6.35845"
"INTL.4701-34-BTN-BDOLPPP.A","        Bhutan","0.516796","0.58867","0.608766","0.677623","0.707994","0.737814","0.824363","1.06092","1.11384","1.19662","1.32677","1.32136","1.38216","1.40961","1.47941","1.58406","1.67222","1.76208","1.86629","2.0153","2.15502","2.33494","2.5916","2.79435","2.96225","3.17812","3.40058","4.02496","4.21813","4.50279","5.04068","5.44306","5.72166","5.84296","6.18048","6.591","7.12665","7.45817","7.68603","8.10603","8.05907"
"INTL.4701-34-BOL-BDOLPPP.A","        Bolivia","NA","NA","NA","NA","NA","NA","NA","NA","25.9086","26.8906","28.1372","29.619","30.1067","31.392","32.8572","34.3944","35.8944","37.6727","39.5674","39.7363","40.7328","41.4187","42.4481","43.5991","45.4186","47.4267","49.7018","51.9704","55.1658","57.0177","59.3707","62.4604","65.6597","70.122","73.9511","77.543","80.8493","84.2411","87.7992","89.7455","82.5937"
"INTL.4701-34-BIH-BDOLPPP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","7.08632","6.93175","7.70339","9.30569","14.3493","19.6071","22.865","25.1515","26.5349","27.454","28.7626","30.0979","31.5859","32.8077","35.4638","37.9156","39.4234","38.0795","37.7564","38.458","38.4486","39.1429","39.5725","41.195","42.7338","44.3626","45.8209","47.0832","44.9411"
"INTL.4701-34-BWA-BDOLPPP.A","        Botswana","4.17288","4.55115","5.10483","5.77595","6.26953","6.71625","7.26516","8.1284","9.70938","10.97736","11.72083","12.59506","12.96246","13.21085","13.26243","14.11466","14.88449","16.01922","16.08572","17.62589","17.86564","17.86753","18.98207","20.43362","20.98727","21.95139","23.80554","25.76856","27.36544","25.26183","27.42","29.07527","30.37192","33.82078","34.94462","32.94069","35.26213","36.67702","38.13724","39.28335","35.96954"
"INTL.4701-34-BRA-BDOLPPP.A","        Brazil","1305.246","1247.971","1255.224","1212.501","1277.602","1379.018","1494.968","1544.735","1540.864","1590.688","1532.761","1548.759","1540.159","1615.781","1710.118","1782.489","1816.554","1884.114","1890.738","1899.726","1981.026","2011.055","2071.791","2095.893","2209.525","2289.696","2380.382","2522.091","2642.523","2646.733","2846.751","2963.508","3011.121","3107.741","3124.018","3013.564","2907.991","2955.175","3004.563","3046.851","2913.882"
"INTL.4701-34-VGB-BDOLPPP.A","        British Virgin Islands","NA","NA","NA","NA","NA","NA","NA","NA","0.188978","0.205301","0.258426","0.317599","0.394952","0.516377","0.643964","0.796257","0.858433","0.948689","1.04697","1.14725","1.24535","1.3028","1.25916","1.10098","1.14213","1.30586","1.29036","1.27854","1.26052","1.24496","1.24379","1.20823","1.19967","1.24156","1.26259","1.27208","1.3648","1.37483","1.41282","1.44981","1.38674"
"INTL.4701-34-BRN-BDOLPPP.A","        Brunei","NA","NA","NA","NA","NA","NA","NA","NA","17.6672","18.0572","18.2539","18.8282","19.7242","19.7842","20.4065","21.3205","21.9341","21.6109","21.4899","22.1459","22.7777","23.403","24.3091","25.0149","25.141","25.2385","26.3483","26.3884","25.8777","25.4206","26.0813","27.0579","27.305","26.7248","26.0546","25.949","25.3092","25.6455","25.6589","26.6516","26.9722"
"INTL.4701-34-BGR-BDOLPPP.A","        Bulgaria","63.7163","66.74159","68.29659","70.6439","73.038","75.0061","78.1841","82.9679","91.9405","88.7862","80.6617","73.8621","68.5372","67.5733","68.82391","85.4989","91.2229","78.02941","81.475","74.7656","78.0257","81.05241","85.7724","90.208","96.1133","102.8824","109.8283","117.369","124.3607","120.0202","120.6291","123.639","123.9219","124.1796","126.6962","131.6939","136.7383","141.5249","146.0906","151.3371","145.5401"
"INTL.4701-34-BFA-BDOLPPP.A","        Burkina Faso","NA","NA","NA","NA","NA","NA","NA","NA","7.94388","8.11503","8.06562","8.79749","8.81754","9.12332","9.24291","9.77141","10.8477","11.5329","12.3757","13.1483","13.3966","14.2826","14.9043","16.0672","16.7868","18.2409","19.3815","20.1783","21.3487","21.981","23.8376","25.4163","27.0563","28.6235","29.862","31.033","32.8819","34.9218","37.2724","39.3968","39.1561"
"INTL.4701-34-MMR-BDOLPPP.A","        Burma","NA","NA","NA","NA","NA","NA","NA","NA","26.3547","27.2107","27.4989","28.7331","30.9648","33.0641","35.4459","37.8161","40.0982","42.2206","45.6075","49.453","55.5942","62.5255","68.7328","77.8028","89.7203","101.893","115.451","129.883","139.7","145.827","153.478","161.875","172.374","185.989","201.24","216.278","230.138","243.371","258.959","275.791","283.844"
