Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-CIV-BDOLPPP.A","        Côte d’Ivoire","NA","NA","NA","NA","NA","NA","NA","NA","55.5142","57.1507","56.5244","56.5475","56.4092","56.3007","56.7574","60.8018","65.5013","67.9534","71.304","72.4573","70.9586","71.0447","69.86","68.9102","69.759","70.9597","72.0354","73.3068","75.1709","77.6151","79.181","75.7072","83.8128","91.2632","99.289","108.069","115.827","124.352","132.92","141.203","143.768"
"INTL.4701-34-DNK-BDOLPPP.A","        Denmark","151.3587","150.0078","154.5313","158.4215","165.3783","172.4634","178.7568","179.274","185.1757","185.4614","186.2302","188.6606","192.3527","192.3735","202.6316","208.7664","214.8209","221.8261","226.7465","233.4308","242.1775","244.1707","245.3096","246.2663","252.8374","258.7452","268.8698","271.3145","269.9255","256.6813","261.4838","264.9794","265.5794","268.0582","272.3992","278.7804","287.8294","295.9512","301.8393","308.2221","301.8662"
"INTL.4701-34-DJI-BDOLPPP.A","        Djibouti","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.74229","2.62008","2.6348","2.45693","2.42351","2.33915","2.25184","2.22447","2.22701","2.29201","2.30836","2.34975","2.42575","2.50305","2.57259","2.65263","2.78063","2.92011","3.08964","3.13959","3.26979","3.50825","3.67812","3.86206","4.13478","4.453","4.74924","5.00585","5.42672","5.84841","5.87765"
"INTL.4701-34-DMA-BDOLPPP.A","        Dominica","NA","NA","NA","NA","NA","NA","NA","NA","0.488323","0.487387","0.513797","0.520721","0.531289","0.542772","0.542959","0.559416","0.576781","0.589387","0.611632","0.613798","0.628162","0.627761","0.610008","0.648763","0.668554","0.672939","0.704294","0.749038","0.802377","0.792993","0.798327","0.796542","0.788107","0.780226","0.81493","0.793","0.813272","0.757975","0.775394","0.802973","0.646075"
"INTL.4701-34-DOM-BDOLPPP.A","        Dominican Republic","NA","NA","NA","NA","NA","NA","NA","NA","41.5729","43.4023","41.035","41.4227","45.7776","49.0839","50.2145","52.9731","56.7508","61.2932","65.5903","69.9949","73.9542","75.2922","79.6503","79.4485","80.4908","87.9465","97.3314","105.58","108.958","109.988","119.147","122.895","126.247","132.397","141.741","151.56","161.643","169.192","181.017","190.149","177.348"
"INTL.4701-34-ECU-BDOLPPP.A","        Ecuador","NA","NA","NA","NA","NA","NA","NA","NA","76.1789","76.4075","78.6997","82.786","84.0397","84.2895","88.2543","89.7974","91.9543","95.6794","97.7036","91.5488","96.3983","100.269","104.377","107.219","116.023","122.162","127.542","130.335","138.62","139.406","144.32","155.675","164.459","172.594","179.133","179.31","177.111","181.306","183.643","183.665","169.431"
"INTL.4701-34-EGY-BDOLPPP.A","        Egypt","NA","NA","NA","NA","NA","NA","NA","NA","337.125","353.714","373.759","377.966","394.871","406.326","422.47","442.083","464.137","489.629","516.928","548.22","583.142","603.758","618.189","637.93","664.035","693.729","740.361","789.763","836.959","875.258","922.911","924.769","951.17","976.529","1024.15","1064.24","1105.15","1159.84","1222.68","1291.81","1310.82"
"INTL.4701-34-SLV-BDOLPPP.A","        El Salvador","NA","NA","NA","NA","NA","NA","NA","NA","21.2458","21.4289","25.9973","26.3868","28.2394","29.882","31.2841","32.7648","33.0322","34.0683","34.9717","35.7285","36.1309","36.4476","37.0225","37.6021","37.9365","38.9643","40.6562","41.4129","42.294","41.4118","42.2835","43.8967","45.1322","46.1412","46.9308","48.056","49.2773","50.3873","51.6028","52.9626","48.7553"
"INTL.4701-34-GNQ-BDOLPPP.A","        Equatorial Guinea","NA","NA","NA","NA","NA","NA","NA","NA","0.381498","0.376809","0.370182","0.366398","0.493705","0.548176","0.639551","0.751384","1.25166","3.1288","3.87266","4.86654","5.75291","9.39911","11.2284","12.7954","17.6575","20.6149","22.2032","25.5964","30.1523","30.5573","27.8304","29.646","32.1104","30.7832","30.911","28.095","25.618","24.1661","22.659","21.3042","20.2617"
"INTL.4701-34-ERI-BDOLPPP.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","3.61721","3.70137","4.03945","4.35865","4.44422","4.45252","3.90253","4.24413","4.3717","4.2556","4.31736","4.42852","4.38564","4.44828","3.58368","4.02022","4.4564","5.60208","5.70778","5.11103","6.69201","5.312","5.7046","5.13343","5.80235","6.02485","5.96019"
"INTL.4701-34-EST-BDOLPPP.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","17.5079","16.5029","16.2319","17.2918","18.1463","20.5146","21.4048","21.3139","23.464","24.8727","26.557","28.5756","30.5197","33.4265","36.6908","39.4717","37.4459","31.9679","32.7496","35.1282","36.262","36.7907","37.8989","38.669","39.8632","42.0362","43.7672","45.5189","44.3074"
"INTL.4701-34-SWZ-BDOLPPP.A","        Eswatini","NA","NA","NA","NA","NA","NA","NA","NA","3.25545","3.67577","4.44834","4.52665","4.67269","4.81783","4.93349","5.17156","5.37025","5.53688","5.68106","5.84871","5.95165","6.01443","6.27787","6.52146","6.75779","7.16318","7.59241","7.92916","7.99431","8.11942","8.42746","8.61684","9.0814","9.43215","9.51828","9.728","9.83508","10.0344","10.258","10.4925","10.2984"
"INTL.4701-34-ETH-BDOLPPP.A","        Ethiopia","NA","NA","NA","NA","NA","NA","NA","NA","32.775","32.6567","33.5471","31.1257","28.3532","32.1421","33.2627","35.2987","40.0756","41.2139","39.5466","41.5882","44.1138","47.7758","48.4994","47.4513","53.8918","60.261","66.7902","74.4416","82.4728","89.7324","100.994","114.28","124.163","137.303","151.386","167.119","182.884","200.376","214.034","231.935","239.548"
"INTL.4701-34-FLK-BDOLPPP.A","        Falkland Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-FRO-BDOLPPP.A","        Faroe Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-FJI-BDOLPPP.A","        Fiji","NA","NA","NA","NA","NA","NA","NA","NA","5.0738","5.74561","6.22548","6.05913","6.29586","6.40463","6.73127","6.89955","7.23073","7.07165","7.16358","7.79398","7.66148","7.81471","8.06478","8.14543","8.57714","8.63718","8.79718","8.718","8.80519","8.68191","8.94237","9.18437","9.31399","9.75494","10.3016","10.782","11.0526","11.6523","12.0632","12.2651","9.60525"
"INTL.4701-34-FIN-BDOLPPP.A","        Finland","116.3707","117.8539","121.5044","125.2323","128.9733","133.1363","136.8014","141.7545","149.0613","157.1351","154.9963","145.8734","141.0681","140.1325","145.6829","151.8338","157.4061","167.3003","176.4253","184.1542","194.7558","199.8378","203.2473","207.32","215.5964","221.5865","230.5142","242.7291","244.6365","224.8835","232.0459","237.9589","234.6321","232.5176","231.6669","232.9298","239.4785","247.1269","249.9468","253.3021","246.036"
"INTL.4701-34-CSK-BDOLPPP.A","        Former Czechoslovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-SCG-BDOLPPP.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-SUN-BDOLPPP.A","        Former U.S.S.R.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-YUG-BDOLPPP.A","        Former Yugoslavia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-FRA-BDOLPPP.A","        France","1448.69","1464.6","1499.676","1519.264","1544.733","1569.587","1604.905","1647.075","1722.284","1799.287","1853.785","1871.283","1899.039","1888.364","1932.48","1975.661","2003.091","2049.128","2123.262","2192.881","2282.557","2328.368","2354.454","2374.304","2435.68","2477.575","2542.686","2604.281","2607.256","2534.663","2581.25","2638.989","2648.85","2665.13","2691.106","2719.147","2747.047","2814.131","2865.93","2918.596","2685.453"
"INTL.4701-34-GUF-BDOLPPP.A","        French Guiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-PYF-BDOLPPP.A","        French Polynesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-GAB-BDOLPPP.A","        Gabon","NA","NA","NA","NA","NA","NA","NA","NA","14.3271","15.5514","16.3589","17.3589","16.8224","17.4863","18.1356","19.0376","19.7277","20.8598","21.5852","19.6571","19.287","19.6988","19.6497","20.0913","20.2299","20.7713","20.1883","21.4012","20.6932","20.7202","22.1892","23.7628","25.0106","26.4209","27.5609","28.63","29.2288","29.3669","29.6145","30.7828","30.3752"
"INTL.4701-34-GMB-BDOLPPP.A","        Gambia, The","NA","NA","NA","NA","NA","NA","NA","NA","2.02427","2.09682","2.17215","2.23469","2.31319","2.38286","2.38654","2.40759","2.50987","2.52041","2.61252","2.79137","2.96261","3.13398","3.14831","3.22082","3.51743","3.43471","3.41563","3.51958","3.73976","3.98904","4.22473","3.88124","4.08467","4.20202","4.14288","4.311","4.39478","4.60672","4.96045","5.2609","5.26173"
"INTL.4701-34-GEO-BDOLPPP.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","19.1548","13.6461","12.1345","12.4502","13.8436","15.2994","15.7748","16.2274","16.5258","17.3196","18.2683","20.5445","21.7786","24.5969","28.1773","31.6955","32.6096","31.347","35.1239","37.7568","40.2742","41.7511","43.6786","45.036","46.3432","48.5693","50.9275","53.4098","50.2582"
"INTL.4701-34-DEU-BDOLPPP.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","2863.713","2906.733","2877.83","2948.877","2996.303","3021.703","3077.86","3133.361","3188.165","3288.039","3347.817","3342.252","3318.618","3341.66","3371.658","3506.682","3615.121","3639.836","3434.449","3573.337","3715.883","3738.757","3759.393","3842.237","3890.035","3973.241","4092.01","4137.18","4182.05","3976.165"
"INTL.4701-34-DDR-BDOLPPP.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-DEUW-BDOLPPP.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-GHA-BDOLPPP.A","        Ghana","NA","NA","NA","NA","NA","NA","NA","NA","34.94344","36.7205","37.94332","39.94794","41.4974","43.5097","44.9459","46.7938","48.9476","51.0014","53.399","55.7488","57.8111","60.1239","62.8298","66.0964","69.7976","73.9158","75.165","78.6289","85.79641","89.8507","96.94959","110.6147","121.4667","135.5527","139.3286","142.4381","147.2259","159.3565","169.1794","180.2236","180.6603"
"INTL.4701-34-GIB-BDOLPPP.A","        Gibraltar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-GRC-BDOLPPP.A","        Greece","219.627","216.2093","213.7657","211.4609","215.7041","221.1253","222.2635","217.2473","226.5627","235.17","235.1703","242.465","244.1554","240.251","245.0554","249.4304","256.6417","268.4217","278.8484","287.1171","298.7312","311.2486","323.6098","342.3859","358.8315","361.6332","381.8199","393.9332","392.9791","376.0441","355.5815","319.7768","296.6538","289.0549","291.2113","289.2274","287.8102","291.4823","295.7193","300.6067","277.1092"
"INTL.4701-34-GRL-BDOLPPP.A","        Greenland","2.50986","2.52656","2.41489","2.49838","2.36897","2.45559","2.62987","2.77493","2.93043","3.12558","2.75928","2.75615","2.61526","2.48377","2.63092","2.72901","2.77076","2.81146","3.02957","3.07131","3.28943","3.33117","3.29882","3.44496","3.68289","3.86657","4.08139","4.1774","4.43499","4.47339","4.55104","4.52844","4.59158","4.53197","4.74688","4.62681","4.84344","4.86613","5.02273","5.17249","4.89185"
"INTL.4701-34-GRD-BDOLPPP.A","        Grenada","NA","NA","NA","NA","NA","NA","NA","NA","0.655206","0.69499","0.731125","0.747918","0.745701","0.726017","0.746007","0.761893","0.795707","0.835616","0.933831","0.998249","1.04705","1.02586","1.06108","1.16154","1.15402","1.30716","1.255","1.33184","1.34448","1.255","1.24915","1.25873","1.24263","1.27322","1.36689","1.455","1.50941","1.57641","1.64169","1.70071","1.4367"
"INTL.4701-34-GLP-BDOLPPP.A","        Guadeloupe","NA","NA","NA","NA","NA","NA","NA","NA","3.27872","3.66889","3.30604","3.50142","3.5711","6.03159","6.17798","6.26325","6.58228","6.83115","7.06049","7.43842","7.80401","8.11617","8.20544","8.61572","8.69326","9.07576","9.26635","9.50728","9.61186","9.15049","9.61716","9.90568","9.96511","10.0349","10.1252","10.3176","10.2866","10.6364","10.7959","10.8742","10.0595"
"INTL.4701-34-GUM-BDOLPPP.A","        Guam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.385","3.56","3.857","4.197","4.213","4.375","4.621","4.781","4.895","4.928","5.199","5.336","5.538","5.71","5.795","5.851","5.92","NA","NA"
"INTL.4701-34-GTM-BDOLPPP.A","        Guatemala","NA","NA","NA","NA","NA","NA","NA","NA","49.5582","51.2521","53.1527","54.7091","57.1295","59.1101","61.1952","63.83","65.6425","68.2922","71.4295","74.0668","75.8957","77.7417","80.7264","82.7933","85.3913","88.1887","92.9081","98.7963","102.05","102.537","105.494","109.887","113.156","117.337","122.551","127.566","130.982","135.016","139.501","144.896","142.694"
"INTL.4701-34-GIN-BDOLPPP.A","        Guinea","NA","NA","NA","NA","NA","NA","NA","NA","7.69126","7.99911","8.34504","8.5631","8.84322","9.28929","9.65808","10.1031","10.5538","11.1007","11.5052","11.9438","12.2428","12.6907","13.3461","13.5127","13.8289","14.2434","14.4128","15.3954","16.0317","15.8517","16.6147","17.5472","18.5851","19.3185","20.0326","20.799","23.0496","25.4237","27.0403","28.567","30.5634"
"INTL.4701-34-GNB-BDOLPPP.A","        Guinea-Bissau","1.1676","1.37973","1.43768","1.38882","1.51533","1.57847","1.56594","1.61135","1.68547","1.78829","1.89737","1.99414","2.01607","2.05841","2.12428","2.21775","2.47501","2.63588","1.8952","1.91464","2.01854","2.06273","2.0424","2.05402","2.11074","2.20078","2.25161","2.32507","2.39956","2.4804","2.59477","2.80455","2.75652","2.84627","2.87372","3.05","3.24102","3.43286","3.56331","3.72722","3.64138"
"INTL.4701-34-GUY-BDOLPPP.A","        Guyana","NA","NA","NA","NA","NA","NA","NA","NA","2.35354","2.23717","2.1692","2.29902","2.47906","2.68269","2.91134","3.05651","3.29747","3.5028","3.44296","3.54521","3.4964","3.87906","4.25314","4.5684","5.12013","5.44678","6.21308","6.65988","6.77678","7.02152","7.3121","7.69206","8.09792","8.39376","8.53532","8.594","8.92121","9.25437","9.66535","10.1827","14.1688"
"INTL.4701-34-HTI-BDOLPPP.A","        Haiti","NA","NA","NA","NA","NA","NA","NA","NA","25.9742","25.6111","25.7369","25.102","24.5044","23.5852","21.018","23.1285","24.0057","24.7048","25.2009","25.9199","26.0732","25.8166","25.8076","25.8929","24.9485","25.4261","25.9718","26.8502","27.0901","27.9206","26.377","27.8367","28.6352","29.8403","30.6873","31.053","31.5094","31.8722","32.3471","31.9604","28.8589"
"INTL.4701-34-HITZ-BDOLPPP.A","        Hawaiian Trade Zone","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.4701-34-HND-BDOLPPP.A","        Honduras","NA","NA","NA","NA","NA","NA","NA","NA","17.1267","17.8164","17.8264","18.4434","19.4961","20.6559","20.4142","21.2449","21.9956","23.1086","23.7824","23.3189","24.6611","25.3327","26.2837","27.4789","29.1914","30.9578","32.9907","35.0323","36.5148","35.627","36.9561","38.3737","39.958","41.0735","42.3295","43.955","45.6662","47.8777","49.7186","51.0377","46.4623"
"INTL.4701-34-HKG-BDOLPPP.A","        Hong Kong","84.5737","92.3483","95.01391","100.7288","110.804","111.5961","123.9876","140.5962","152.563","156.037","162.014","171.2519","181.9295","193.2111","204.8735","209.7367","218.6682","229.8196","216.3002","221.7221","238.7137","240.0527","244.0295","251.4876","273.3672","293.564","314.2092","334.5222","341.6407","333.2392","355.7917","372.922","379.2625","391.0257","401.8279","411.4221","420.3474","436.284","448.702","441.164","414.3355"
"INTL.4701-34-HUN-BDOLPPP.A","        Hungary","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","165.7885","160.7085","159.7827","164.4916","167.1556","167.2571","172.5378","179.1899","184.5108","193.124","201.0375","210.5587","218.9698","229.6373","239.5715","249.398","250.1804","252.3939","235.707","238.1383","242.5904","239.9071","244.2916","254.3907","263.6871","269.3823","281.2597","296.4319","309.9257","294.9464"
"INTL.4701-34-ISL-BDOLPPP.A","        Iceland","NA","NA","NA","NA","NA","NA","NA","NA","8.23798","8.25927","8.35585","8.33717","8.05589","8.1617","8.45624","8.49897","8.88713","9.40005","10.0922","10.4994","11.0228","11.4652","11.5293","11.7764","12.6952","13.4727","14.3238","15.5348","15.8781","14.6612","14.2459","14.5088","14.6632","15.3307","15.5893","16.281","17.3073","18.0333","18.9156","19.3761","18.1159"
"INTL.4701-34-IND-BDOLPPP.A","        India","927.043","984.483","1025.8","1089.973","1139.542","1196.735","1255.15","1308.184","1414.719","1510.764","1597.19","1630.674","1703.284","1784.54","1895.43","2036.367","2188.785","2292.615","2427.432","2627.078","2779.9","2876.448","3008.867","3202.75","3452.771","3726.931","4031.063","4352.62","4575.85","4786.61","5222.79","5583.18","5867.08","6227.78","6663.89","7163.91","7807.78","8282.23","8887.68","9315.25","8635.55"
"INTL.4701-34-IDN-BDOLPPP.A","        Indonesia","417.9602","449.049","447.236","486.923","523.803","544.261","583.385","621.727","665.116","725.54","790.855","861.464","917.655","990.662","1065.357","1152.932","1243.068","1301.491","1130.648","1139.593","1196.328","1239.916","1295.705","1357.645","1425.948","1507.121","1590.027","1690.914","1816.748","1902.167","2023.48","2148.324","2277.869","2404.456","2524.841","2647.958","2781.232","2922.235","3073.44","3227.671","3160.871"
"INTL.4701-34-IRN-BDOLPPP.A","        Iran","NA","NA","NA","NA","NA","NA","NA","NA","388.322","412.312","468.75","527.785","550.223","541.552","539.654","553.968","593.306","613.387","630.197","642.384","675.422","700.207","757.342","818.375","868.026","895.714","940.498","1017.2","1019.76","1030.03","1089.75","1118.58","1035.31","1033.3","1080.86","1066.59","1209.47","1254.89","1179.27","1099.27","1136.51"
"INTL.4701-34-IRQ-BDOLPPP.A","        Iraq","NA","NA","NA","NA","NA","NA","NA","NA","158.42","144.367","144.392","48.9201","61.4604","91.3129","87.0963","71.1484","106.465","129.763","174.995","205.763","208.657","213.467","198.738","132.953","204.959","208.392","220.142","224.3","242.755","250.959","267.026","287.177","327.2","352.159","352.853","369.519","420.466","404.622","408.077","426.217","382.164"
"INTL.4701-34-IRL-BDOLPPP.A","        Ireland","62.278","64.0039","64.8499","64.9338","67.3313","71.3067","71.5518","74.7205","78.0652","82.9237","94.0347","95.88691","99.1563","101.7157","107.3668","114.2172","122.2748","135.2893","147.2945","162.15","176.1624","186.2725","197.2449","204.257","217.338","230.1117","241.7566","254.5944","242.9461","230.6006","233.5855","235.706","235.3634","239.0934","259.3619","325.1316","332.8056","363.2442","396.5614","416.805","441.152"
"INTL.4701-34-ISR-BDOLPPP.A","        Israel","NA","NA","NA","NA","NA","NA","NA","NA","95.3568","96.7099","103.125","109.41","117.238","121.659","130.189","138.763","147.125","152.927","159.317","165.041","179.903","179.619","179.293","181.333","190.176","198.065","209.159","222.024","229.745","232.154","244.979","258.903","266.3","279.01","291.182","297.271","310.537","324.094","337.419","349.804","342.523"
"INTL.4701-34-ITA-BDOLPPP.A","        Italy","1491.364","1505.099","1509.999","1530.624","1579.761","1624.621","1672.879","1722.356","1796.416","1858.838","1895.124","1933.172","1946.693","1929.991","1974.019","2029.727","2056.809","2096.841","2131.306","2164.811","2252.731","2292.686","2298.407","2303.578","2331.658","2355.07","2399.39","2431.579","2408.102","2280.068","2318.155","2337.799","2267.336","2225.184","2226.786","2241.418","2272.892","2312.327","2330.865","2340.366","2129.768"
"INTL.4701-34-JAM-BDOLPPP.A","        Jamaica","NA","NA","NA","NA","NA","NA","NA","NA","17.9489","19.1764","20.2231","20.3999","22.5073","22.9501","23.1549","23.3932","23.4666","23.2356","22.9506","23.1776","23.3378","23.6367","23.7962","24.6687","24.9953","25.2187","25.9498","26.3245","26.1109","24.9762","24.6123","25.0382","24.8845","25.0134","25.1859","25.418","25.7676","26.0245","26.5163","26.7529","24.057"
"INTL.4701-34-JPN-BDOLPPP.A","        Japan","2642.625","2754.922","2846.731","2946.676","3081.733","3240.3","3348.99","3505.44","3746.913","3926.244","4119.38","4259.98","4298.71","4274.14","4315.77","4428.83","4568.53","4614.78","4553.94","4542.74","4666.28","4684.88","4685.12","4758.89","4861.38","4950.1","5016.68","5090.79","5027.35","4741.98","4936.48","4938.2","5005.86","5108.12","5119.13","5200.86","5238.5","5327.92","5357.42","5358.98","5109.16"
"INTL.4701-34-JOR-BDOLPPP.A","        Jordan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29.9149","31.2178","32.7791","34.7307","35.3933","36.7189","37.8967","39.1227","40.7663","42.799","45.6204","47.4366","51.3788","55.0884","60.648","65.7261","70.7264","75.0958","76.7606","78.7076","80.8453","83.1388","85.7227","87.705","89.335","91.1995","92.9634","94.7813","93.3109"
"INTL.4701-34-KAZ-BDOLPPP.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","176.731","160.471","141.271","129.767","130.67","132.539","130.701","133.287","146.306","165.994","182.226","199.055","218.112","239.184","264.753","288.388","298.104","301.327","323.45","347.678","365.131","386.572","403.088","407.416","411.053","427.332","444.868","464.79","453.04"
"INTL.4701-34-KEN-BDOLPPP.A","        Kenya","NA","NA","NA","NA","NA","NA","NA","NA","61.8672","64.7689","67.4842","68.45491","67.9075","68.1473","69.9416","73.0233","75.21591","75.4192","77.94991","79.591","79.9988","83.5641","84.0294","86.5041","90.9183","96.2825","102.3632","109.3758","109.6297","113.471","122.9284","130.6444","136.3435","144.8205","152.3972","161.007","170.4528","178.5892","189.848","200.0442","199.3372"
"INTL.4701-34-KIR-BDOLPPP.A","        Kiribati","NA","NA","NA","NA","NA","NA","NA","NA","0.14143","0.136676","0.135487","0.135487","0.136676","0.137864","0.140241","0.140241","0.142618","0.144995","0.154503","0.152126","0.161634","0.159257","0.165283","0.168607","0.165859","0.174071","0.173982","0.17753","0.173811","0.175209","0.173586","0.176354","0.184672","0.192452","0.191107","0.211","0.221833","0.22381","0.228982","0.234132","0.230798"
"INTL.4701-34-XKS-BDOLPPP.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","13.6875","14.1803","14.6482","15.2928","15.7209","16.2555","16.4505","17.125","17.8271","18.5759","19.2817","20.2266","18.9964"
"INTL.4701-34-KWT-BDOLPPP.A","        Kuwait","NA","NA","NA","NA","NA","NA","NA","NA","59.6724","75.1913","55.5517","32.3893","59.8152","79.9787","86.8726","88.0427","88.6579","90.8578","94.0372","92.4859","96.8575","97.0641","99.9899","117.314","129.328","143.048","153.798","163.013","167.055","155.234","151.554","166.146","177.156","179.191","180.089","181.157","186.457","177.671","181.996","180.991","164.926"
"INTL.4701-34-KGZ-BDOLPPP.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","16.5333","13.2696","10.6164","10.0024","10.7052","11.7491","12.0055","12.4601","13.1323","13.8473","13.8346","14.8166","15.8517","15.8198","16.3221","17.7049","19.189","19.7704","19.6597","20.8276","20.9515","23.2352","24.1646","25.107","26.1866","27.4174","28.4592","29.7399","27.3673"
"INTL.4701-34-LAO-BDOLPPP.A","        Laos","NA","NA","NA","NA","NA","NA","NA","NA","6.47244","7.39092","7.88645","8.22529","8.68261","9.19598","9.94628","10.6456","11.3832","12.1655","12.6481","13.5723","14.3593","15.1851","16.0839","17.0597","18.1443","19.4339","21.109","22.7126","24.4899","26.327","28.5719","30.8687","33.3463","36.0227","38.7648","41.583","44.5033","47.5707","50.5429","53.3016","53.4401"
"INTL.4701-34-LVA-BDOLPPP.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","24.921","21.2154","21.3535","22.1427","22.7117","24.7246","26.2926","27.0133","28.5454","30.3503","32.5","35.2409","38.237","42.3379","47.4128","52.1666","50.4312","43.2398","41.3344","44.0082","45.8793","46.9392","47.4431","49.375","50.4557","52.0832","54.2741","55.3784","53.3798"
"INTL.4701-34-LBN-BDOLPPP.A","        Lebanon","NA","NA","NA","NA","NA","NA","NA","NA","26.877","15.4675","19.5714","29.2489","34.057","37.7235","40.7811","43.411","48.3103","48.82","50.6096","50.3435","51.0191","52.9781","54.7916","56.5598","60.3376","61.9582","62.9183","68.7763","75.0137","82.6893","89.2838","90.0582","92.3462","95.8656","98.2251","98.433","99.9385","100.789","98.8471","92.2243","73.5028"
"INTL.4701-34-LSO-BDOLPPP.A","        Lesotho","NA","NA","NA","NA","NA","NA","NA","NA","2.27744","2.46183","2.62032","2.728","2.84981","2.95288","3.04915","3.18925","3.50225","3.78762","3.60302","3.71021","3.90088","4.06586","4.08751","4.27926","4.37741","4.49571","4.68936","4.91133","5.18389","5.11082","5.38691","5.64061","6.00687","6.10823","6.20988","6.402","6.63242","6.41585","6.33452","6.32009","5.70956"
"INTL.4701-34-LBR-BDOLPPP.A","        Liberia","9.59946","9.39435","9.1658","8.99195","8.80243","8.72822","8.58171","8.49574","8.32226","6.10286","2.98852","2.5634","1.66401","1.1153","0.872592","0.835365","0.936611","1.93202","2.51566","3.0626","3.93902","4.05405","4.2066","2.93853","3.01551","3.17476","3.43014","3.7572","4.02568","4.23906","4.49764","4.86648","5.25551","5.71295","5.753","5.753","5.66098","5.80072","5.87163","5.73787","5.56655"
