Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Australia,AUS,5061.5084587843,4927.78158990974,4959.21491854816,5147.53665025188,5089.788966676,5129.22366091191,5393.58063459123,5469.59998919911,5553.65346587569,5610.34471097961,5644.06495066047,5446.97321382579,5569.64099249926,5568.76494063954,5598.0881783042,5564.08716927844,5709.34466781654,5868.34709712113,5964.66577565273,5862.55194383105,5793.11602573559,5745.23218954465,5575.28709327857,5468.39136879598,5334.68167873774,5483.81640154023
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Austria,AUT,3240.1113592998,3415.17308238117,3245.59207592069,3255.78470440001,3234.49298510934,3373.60356545154,3580.42079819656,3550.40417086207,3606.61037918892,3591.8094661828,3570.49882632185,3758.45756925295,3773.65172816435,3973.6243266728,4007.56990423112,4085.56765095628,4078.81222561241,4019.59016993216,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3919.04441873374,3763.3279025587,3800.29942035468
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Azerbaijan,AZE,3165.49490152256,3087.87470774309,2464.59739907884,2175.2844563042,1947.69198367777,1809.15432661028,1513.67319335309,1444.31945906293,1485.15341842538,1369.11189752905,1403.43326789752,1410.96545517309,1414.52811140548,1476.59088424964,1539.23012098959,1599.9606761322,1559.56874554337,1411.557339797,1520.31391925508,1334.16617834119,1279.552594272,1369.35099893362,1472.89739090323,1474.00343280059,1502.07816841371,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Bahamas, The",BHS,2518.57695444983,..,..,..,..,..,..,..,..,..,..,..,..,..,2082.196591971,2142.46796302396,2132.7178861322,2101.43187833628,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bahrain,BHR,10555.2707937193,10108.452997489,10837.7475214401,11142.4236772906,11555.6412771137,11408.5599178282,11109.7092277756,12181.20084514,12406.7508554668,11851.601075186,11988.7753889117,11738.2133052348,11548.5808261216,11566.5448409417,10895.0152076776,11675.459195379,11604.2008810352,11233.9179028476,11318.2576273437,10339.1909042121,10207.8679303064,9912.71140890239,9659.60430572725,10419.815836761,10596.5503433565,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bangladesh,BGD,123.461980307905,118.898265134332,122.726953318808,126.798912328908,129.630799667934,138.05813722384,135.948527365065,139.051086677656,141.976975340841,140.979864222163,143.053814769595,153.560068575363,154.392651777895,159.89499731671,160.245103690269,163.94273534663,173.302751601539,178.851042702986,185.582111429949,193.073114228831,206.761159361013,212.057371523082,219.9696403776,222.056661842427,229.246412864672,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Barbados,BRB,1233.97430787626,..,..,..,..,..,..,..,..,..,..,..,..,..,1362.22955202627,1411.39174082505,1434.35311755569,1438.82310728382,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belarus,BLR,4465.37501226813,4348.46792230724,3620.7319890368,3076.70075202657,2615.73931749291,2427.66941338042,2501.34881889764,2505.60462587724,2466.16516039329,2411.56894694965,2462.41105614348,2485.56511127658,2550.108823149,2643.68751307194,2752.759002794,2768.82153868282,2965.37796655132,2917.9070329077,2932.1032726227,2790.13733904225,2900.04228401985,3097.6566244126,3222.44926961238,2881.50735733383,2928.52021597737,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belgium,BEL,4809.86726801499,5006.00470628876,5040.67044042513,4902.26997439133,5186.18662673891,5267.67067078591,5536.47127489148,5523.45916437528,5603.16026411035,5612.71467558683,5669.35817583222,5634.21548679492,5390.71973335359,5590.02597595848,5592.98874969209,5555.61578402951,5470.49182410472,5336.96321183546,5454.66715929162,5196.58198268641,5539.47222297176,5092.31614681439,4845.48829505754,4997.46330606994,4708.22121789549,4687.7870492938
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belize,BLZ,566.338935335267,..,..,..,..,..,..,..,..,..,..,..,..,..,560.57055232474,567.300916138125,590.397797678913,595.267954184433,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Benin,BEN,333.698169085603,327.539824748,324.147385040295,320.353662408184,316.293562375967,312.761300456282,352.920182749043,355.238338274453,340.201676438291,344.561859684536,288.768445915213,297.954720066449,310.039731918523,317.198398256512,321.355318010158,313.106308078261,358.898499031934,379.227735084703,376.859465551084,384.447094304252,397.136334567817,396.771213519321,399.676521762011,406.248213319729,416.790497997345,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bhutan,BTN,105.453139011763,..,..,..,..,..,..,..,..,..,..,..,..,..,281.77171794651,314.456198871965,320.956480735006,366.985723653734,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bolivia,BOL,380.284207560786,383.825577950819,398.057651810103,416.724806334056,449.254318420237,493.873139711201,520.265855382004,556.108391376685,551.060850135011,531.023489457393,582.67524040586,444.802385948637,523.325098761108,534.118632270145,525.145938836518,562.629639875455,691.955123790824,554.149270607889,579.480600329951,593.641781239261,636.138303980956,660.991227415692,747.869176104554,740.169863036568,778.168754600586,..
