Report generated on: 11-03-2021 14:09:38
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.5-8-CAN-MMTCD.A","        Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.58162657033296","223.08775602436725","201.92324078976526","185.87587636797932","239.012923","237.134543","240.565398","251.072008","262.85498","272.14774","254.193994504","242.523629816","252.242869584","253.750051744","257.788887032","262.551791744","270.424422056","279.255438792","283.73337936","290.285063904","289.669371624","296.16973996","314.298069088","333.283551928","343.756741608","357.846246872","358.856706072","375.555837688","359.37264452","346.178735304","361.971362152","361.353168896","364.90052964","362.33836164","356.314688488","366.79670644","368.622926488","361.330197408","371.133240856","354.041910856"
"INTL.5-8-CYM-MMTCD.A","        Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0978","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.469614249249517","0.5","0.6","0.6","0.6402384311207694","0.5910509625533386","0.5813747138987824","0.5923826396003007","0.637089","0.626893","0.7179269999893251","0.6672979999850652",""
"INTL.5-8-CAF-MMTCD.A","        Central African Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13937","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.35419961079537016","0.3","0.3","0.3","0.3904564299501769","0.40103427461151675","0.4048933913902507","0.4089063233505474","0.415213","0.418203","0.41336864676634333","0.41743701916652254",""
"INTL.5-8-TCD-MMTCD.A","        Chad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27621","0.3","0.3","0.3","0.1","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.297427197665387","0.3","0.3","0.3","0.3278427426487457","0.3161410668389523","0.33493092052879453","0.3337397354538534","0.957926","0.97189","0.9688687907017653","0.9975697907017653",""
"INTL.5-8-CHL-MMTCD.A","        Chile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.462328349868814","12.716419209859447","11.93738469968777","12.828721470397676","14.856877","14.32589","15.114215","15.781912","17.499971","19.805435","20.905775","21.581802","23.537491","25.805691","27.634957","30.630844","33.231807","35.275031","36.538094","38.326484","35.616556","34.712821","36.564172","37.702428","41.218487","43.073213","43.77893","53.799369","56.634789","53.089212","48.155777","50.06345","50.253331","51.294959","49.084122","49.789722","52.111127","52.204177","53.377308","54.31057"
"INTL.5-8-CHN-MMTCD.A","        China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255.87168","247","240","249","252","274","294","313","328","347","335","364","375","426","444","476","482","539","536","572","643","658","693","717","850","889","928","783.5","995","1107","1180.2192129914195","1257.1676420573513","1328.8809161184568","1392.550811668333","1446.776100356463","1493.4389261756762","1553.972028","1606.2675924","1662.494164",""
"INTL.5-8-COL-MMTCD.A","        Colombia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.242794117309558","21.57950065945775","22.105829943905903","22.632159228063752","22.958050785259395","22.500576907311835","22.566368067687794","24.007926033780397","25.875627464300702","27.124995745680838","26.403117208687302","27.134624697139895","30.77743009376758","31.209926575590345","31.680266582322115","29.995967357980117","31.402785874181593","33.42676603215349","31.91941986672892","30.120254934317273","30.0056061683919","29.328962861718306","29.296435530942137","28.310677228859088","30.629630930870665","29.95016880948175","31.549317974131817","30.37301623820043","31.119687838698358","30.705951940843494","32.404952930806424","38.08637510905808","41.902075200267795","43.240574727015876","43.73765926672604","44.128775","47.050113","43.875749","45.816049",""
"INTL.5-8-COM-MMTCD.A","        Comoros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04142","0.04134","0.04134","0.04134","0.04204","0.03554","0.03775","0.05033","0.05347","0.05349","0.07","0.06686","0.06749","0.0675","0.07069","0.08324","0.08346","0.08346","0.08661","0.08661","0.09636","0.09954","0.1","0.1","0.1","0.1","0.1","0.12101908035681262","0.1","0.2","0.1","0.1513223202843844","0.15467224560879422","0.19195971179336765","0.17072989242911174","0.185697","0.218082","0.25368630862120684","0.23187352919186252",""
"INTL.5-8-COG-MMTCD.A","        Congo-Brazzaville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6985","0.8","0.7","0.6","0.6","0.8","0.8","0.9","0.8","0.9","1","0.9","0.9","0.8","0.8","0.7","0.7","0.7","0.8","0.6","0.6","0.8","0.7","0.9","1","1.1","1.2","1.3868260807539425","1.4","1.7","2.5","2.1800085543824506","2.0788410699078343","2.4886010877776084","2.530443140316962","2.430184","2.414699","2.03944","1.70713",""
"INTL.5-8-COD-MMTCD.A","        Congo-Kinshasa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71259","2.9","3","3","2.8","2.7","3.2","2.8","3.5","3.3","3","3.2","3.7","3.9","2.9","3","3.2","3.1","2.9","2.5","2.1","1.4","1.2","1.2","1.7","1.7","1.7","1.7485783843824305","1.651114179452313","1.7","2.4","2.779647673368037","2.674933097008457","3.9843517251652454","5.402108765792609","3.137905","2.361898","2.5660634539807976","2.556642453972466",""
"INTL.5-8-COK-MMTCD.A","        Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02812","0.05604","0.05513","0.05551","0.05542","0.05539","0.05374","0.05373","0.05373","0.04739","0.04738","0.03862","0.04785","0.04783","0.0478","0.04763","0.04775","0.04775","0.04774","0.04774","0.05729","0.05729","0.05729","0.05728","0.06365","0.07001","0.07469","0.07010562087688418","0.09059","0.0730957804445","0.07822759999999997","0.08772919999999998","0.09305073698630142","0.09247990000000011","0.09754720000000001","0.09026319999999986","0.093490855329","0.09957865998967302","0.10007889999824202",""
